group,epoch,node,agg_name,time_ns,build_ns,collect_ns,post_ns,reduce_ns
all,1,N001,cpu_pct,60908308,106274,60463286,3430,0
all,1,N001,mem_pct,21545291,411544,21078246,229,0
all,1,N001,net_pct,67021345,41917,66930618,155,0
all,1,N001,cpu_sum,2844864,8484,2729824,208,0
all,1,N001,mem_sum,2656243,2280,2593686,158,0
all,1,N001,net_sum,2636832,2089,2560813,156,0
all,1,N002,cpu_pct,8061555,79334,7891250,925,0
all,1,N002,mem_pct,14804662,57661,14718331,163,0
all,1,N002,net_pct,9921795,48599,9844561,144,0
all,1,N002,cpu_sum,2339669,5152,2266491,213,0
all,1,N002,mem_sum,2309230,2128,2277189,157,0
all,1,N002,net_sum,2337235,2323,2299784,177,0
all,1,N003,cpu_pct,26760919,77436,26574537,1029,0
all,1,N003,mem_pct,26665212,41945,26587235,220,0
all,1,N003,net_pct,17098434,32083,17016459,194,0
all,1,N003,cpu_sum,4188187,6904,4131757,289,0
all,1,N003,mem_sum,4105170,2651,4065458,177,0
all,1,N003,net_sum,4258486,124599,4083386,192,0
all,1,N004,cpu_pct,14486499,100580,14231092,866,0
all,1,N004,mem_pct,17409803,52068,17307040,243,0
all,1,N004,net_pct,16958355,39811,16884153,208,0
all,1,N004,cpu_sum,4253101,11586,4192495,255,0
all,1,N004,mem_sum,4274892,1539,4242756,173,0
all,1,N004,net_sum,4508164,1263,4463985,184,0
all,1,N005,cpu_pct,10077690,49298,9910687,1016,0
all,1,N005,mem_pct,26819880,41064,26741866,247,0
all,1,N005,net_pct,11312638,28601,11249474,187,0
all,1,N005,cpu_sum,4196202,4835,4136874,263,0
all,1,N005,mem_sum,4233782,1503,4185013,187,0
all,1,N005,net_sum,4143460,1338,4112267,199,0
all,1,N006,cpu_pct,8699337,80851,8454232,1064,0
all,1,N006,mem_pct,9655717,20687,9479889,196,0
all,1,N006,net_pct,16762171,50639,16636266,198,0
all,1,N006,cpu_sum,4401504,5481,4291756,283,0
all,1,N006,mem_sum,4258290,1420,4214987,201,0
all,1,N006,net_sum,4260980,1273,4220148,189,0
all,1,N007,cpu_pct,8311545,56118,8129706,899,0
all,1,N007,mem_pct,10295987,33407,10226442,265,0
all,1,N007,net_pct,11475608,109827,11321644,266,0
all,1,N007,cpu_sum,4209133,5406,4147847,400,0
all,1,N007,mem_sum,4081635,2826,4034377,293,0
all,1,N007,net_sum,4072477,1843,4040911,270,0
all,1,N008,cpu_pct,13362393,104379,13129778,984,0
all,1,N008,mem_pct,14597428,46035,14500925,269,0
all,1,N008,net_pct,8440623,86937,8310858,244,0
all,1,N008,cpu_sum,3668215,4603,3617250,315,0
all,1,N008,mem_sum,3818146,1736,3778628,246,0
all,1,N008,net_sum,3642025,1654,3606671,240,0
all,1,N009,cpu_pct,11852912,61239,11646601,841,0
all,1,N009,mem_pct,10785813,36751,10684212,208,0
all,1,N009,net_pct,13673345,74862,13559054,196,0
all,1,N009,cpu_sum,4223918,4868,4177044,285,0
all,1,N009,mem_sum,4181282,1374,4140130,186,0
all,1,N009,net_sum,4178821,1352,4143032,198,0
all,1,N010,cpu_pct,11224655,71882,11047316,678,0
all,1,N010,mem_pct,10684032,52471,10597009,166,0
all,1,N010,net_pct,11942430,24101,11873222,151,0
all,1,N010,cpu_sum,3463533,3887,3421911,246,0
all,1,N010,mem_sum,3676711,1155,3645035,166,0
all,1,N010,net_sum,3485498,1096,3451836,163,0
all,1,N011,cpu_pct,9536758,51003,9393113,583,0
all,1,N011,mem_pct,9026068,43694,8946921,192,0
all,1,N011,net_pct,12333243,9115,12290798,146,0
all,1,N011,cpu_sum,2989705,3057,2948549,206,0
all,1,N011,mem_sum,2983131,1028,2958942,164,0
all,1,N011,net_sum,2972403,1063,2945099,140,0
all,1,N012,cpu_pct,14069253,44871,13906602,928,0
all,1,N012,mem_pct,15390746,53247,15277766,208,0
all,1,N012,net_pct,11960246,57240,11851361,200,0
all,1,N012,cpu_sum,4329930,3960,4280061,346,0
all,1,N012,mem_sum,4445309,2718,4409103,217,0
all,1,N012,net_sum,4338766,1348,4298455,201,0
all,1,N013,cpu_pct,32082418,63222,31826952,10343,0
all,1,N013,mem_pct,13357484,33002,13267637,114,0
all,1,N013,net_pct,13620952,41474,13526256,60,0
all,1,N013,cpu_sum,4524257,10857,4438472,5074,0
all,1,N013,mem_sum,4560611,1283,4525096,126,0
all,1,N013,net_sum,4484682,1068,4436780,57,0
all,1,N014,cpu_pct,11915299,93433,11707362,813,0
all,1,N014,mem_pct,19431964,36706,19345693,65,0
all,1,N014,net_pct,21543308,71024,21436023,66,0
all,1,N014,cpu_sum,4372030,4714,4316035,165,0
all,1,N014,mem_sum,4297345,1250,4256142,65,0
all,1,N014,net_sum,4313756,1130,4256562,62,0
all,1,N015,cpu_pct,11543497,85772,11297847,700,0
all,1,N015,mem_pct,15007189,78906,14864791,76,0
all,1,N015,net_pct,13249506,31870,13174301,66,0
all,1,N015,cpu_sum,4245551,4008,4207109,182,0
all,1,N015,mem_sum,4311659,4246,4273711,66,0
all,1,N015,net_sum,4254471,1190,4217397,64,0
all,1,N016,cpu_pct,8343293,73948,8160737,524,0
all,1,N016,mem_pct,15479820,78805,15354560,96,0
all,1,N016,net_pct,16695334,33640,16623043,67,0
all,1,N016,cpu_sum,4325770,3720,4289329,149,0
all,1,N016,mem_sum,4829321,1413,4791774,55,0
all,1,N016,net_sum,4265922,1309,4224434,79,0
all,1,N017,cpu_pct,10552131,64968,10374512,694,0
all,1,N017,mem_pct,15694548,92048,15547761,58,0
all,1,N017,net_pct,15028304,77709,14905537,90,0
all,1,N017,cpu_sum,4316171,3902,4272522,130,0
all,1,N017,mem_sum,4348135,1190,4313722,86,0
all,1,N017,net_sum,4362946,1093,4329044,55,0
all,1,N018,cpu_pct,12754143,54347,12582603,456,0
all,1,N018,mem_pct,19899982,31816,19822320,93,0
all,1,N018,net_pct,10208991,63208,10098296,82,0
all,1,N018,cpu_sum,4296978,3566,4255745,175,0
all,1,N018,mem_sum,4381571,1350,4345708,67,0
all,1,N018,net_sum,4552246,1196,4516636,70,0
all,1,N019,cpu_pct,16911699,34401,16744312,623,0
all,1,N019,mem_pct,10371141,81379,10250719,81,0
all,1,N019,net_pct,10921058,53586,10834621,80,0
all,1,N019,cpu_sum,4351203,2986,4304053,158,0
all,1,N019,mem_sum,4364016,1297,4321796,74,0
all,1,N019,net_sum,4376170,1120,4336527,71,0
all,1,N020,cpu_pct,16656453,84111,16459892,468,0
all,1,N020,mem_pct,7143651,47001,7058061,85,0
all,1,N020,net_pct,10959987,44343,10870309,57,0
all,1,N020,cpu_sum,4346371,3335,4303922,140,0
all,1,N020,mem_sum,4340911,1222,4313671,68,0
all,1,N020,net_sum,4364542,1041,4334343,70,0
all,1,N021,cpu_pct,11754773,58236,11596668,465,0
