group,epoch,node,profile,wall_ms,took_ms,query_ns,collector_ns,aggs_ns
all,1,N001,1,303.066,293,81959993,508273061,157612883
all,1,N002,1,69.921,65,31669130,102649144,39774146
all,1,N003,1,88.010,83,45016212,128823434,83076408
all,1,N004,1,84.077,78,47103887,118861997,61890814
all,1,N005,1,80.751,76,47117908,116510331,60783652
all,1,N006,1,84.921,79,50188467,119351459,48037999
all,1,N007,1,80.048,74,44057832,113317019,42446385
all,1,N008,1,73.214,67,41128205,102955102,47528830
all,1,N009,1,81.208,75,43995050,117012518,48896091
all,1,N010,1,68.658,63,36924181,97187714,44476859
all,1,N011,1,58.709,53,30151355,82050715,39841308
all,1,N012,1,82.247,76,42948299,118484001,54534250
all,1,N013,1,90.326,84,46715672,130283194,72630404
all,1,N014,1,81.325,76,42672071,117575722,65873702
all,1,N015,1,79.173,74,41661330,115909812,52611873
all,1,N016,1,79.911,74,41969245,116518139,53939460
all,1,N017,1,81.007,75,42619006,118066316,54302235
all,1,N018,1,80.724,75,41556618,117409777,56093911
all,1,N019,1,81.493,75,41390923,117218514,51295287
all,1,N020,1,79.414,74,41484391,116353265,47811915
all,1,N021,1,67.322,62,33885169,96914634,39536490
all,1,N022,1,80.063,74,42035531,117415737,67777616
all,1,N023,1,81.339,76,40659808,118880943,59059044
all,1,N024,1,68.853,63,34289250,96768324,44024520
all,1,N025,1,79.239,74,40028192,115902491,50655722
all,1,N026,1,120.408,116,45031278,195601398,86544260
all,1,N027,1,90.155,84,43928612,135628971,65176234
all,1,N028,1,68.718,63,31298728,98789582,42846853
all,1,N029,1,54.065,49,24807438,77358675,33494340
all,1,N030,1,76.232,71,36565011,113925431,50323000
single,1,N001,1,84.809,79,40118532,127638690,54413982
all,1,N001,0,141.527,136,0,0,0
all,1,N002,0,51.059,46,0,0,0
all,1,N003,0,52.344,47,0,0,0
all,1,N004,0,36.831,32,0,0,0
all,1,N005,0,54.644,50,0,0,0
all,1,N006,0,28.565,24,0,0,0
all,1,N007,0,43.945,40,0,0,0
all,1,N008,0,43.170,40,0,0,0
all,1,N009,0,44.363,40,0,0,0
all,1,N010,0,38.871,34,0,0,0
all,1,N011,0,34.497,29,0,0,0
all,1,N012,0,42.837,38,0,0,0
all,1,N013,0,39.880,35,0,0,0
all,1,N014,0,44.449,40,0,0,0
all,1,N015,0,45.559,40,0,0,0
all,1,N016,0,44.790,39,0,0,0
all,1,N017,0,46.136,41,0,0,0
all,1,N018,0,43.552,38,0,0,0
all,1,N019,0,45.856,41,0,0,0
all,1,N020,0,46.100,41,0,0,0
all,1,N021,0,45.020,40,0,0,0
all,1,N022,0,46.808,41,0,0,0
all,1,N023,0,48.294,43,0,0,0
all,1,N024,0,52.206,47,0,0,0
all,1,N025,0,47.739,42,0,0,0
all,1,N026,0,44.383,39,0,0,0
all,1,N027,0,33.137,28,0,0,0
all,1,N028,0,44.791,40,0,0,0
all,1,N029,0,43.506,39,0,0,0
all,1,N030,0,43.771,39,0,0,0
single,1,N001,0,8.044,3,0,0,0
all,2,N001,1,82.703,77,48955534,121725076,60134337
all,2,N002,1,82.197,76,44679691,121399952,72540025
all,2,N003,1,82.182,77,46476863,121432271,61878471
all,2,N004,1,84.824,78,44639742,121741883,45064839
all,2,N005,1,82.746,77,44788114,121533647,46531795
all,2,N006,1,82.625,77,44584363,120698529,73813132
all,2,N007,1,81.955,76,43175267,121505237,52782793
all,2,N008,1,81.146,76,44924974,122015705,58087839
all,2,N009,1,81.970,76,45335858,121416070,48179027
all,2,N010,1,89.387,84,49472775,132168682,80688499
all,2,N011,1,81.548,76,44045464,120844623,67612229
all,2,N012,1,81.314,76,42514778,122185356,44060311
all,2,N013,1,81.507,76,43620369,120457182,43230602
all,2,N014,1,81.971,76,44202401,122339442,75500576
all,2,N015,1,80.387,75,45253672,120608899,37611211
all,2,N016,1,81.080,76,44053697,121741677,44705234
all,2,N017,1,81.253,76,44417690,121635067,47384141
all,2,N018,1,63.870,58,33426219,93128218,48233899
all,2,N019,1,81.751,76,44634211,123021808,54530180
all,2,N020,1,54.322,50,28517003,78398067,32739657
all,2,N021,1,79.702,75,46741514,120917826,56606710
all,2,N022,1,80.668,75,44282320,120872427,59456801
all,2,N023,1,79.319,74,42647181,118001441,55298270
all,2,N024,1,80.879,76,44570925,120938214,70291972
all,2,N025,1,69.246,64,37305261,101312029,48808258
all,2,N026,1,81.043,76,43856893,122572519,71585723
all,2,N027,1,68.339,63,36606969,100673604,37323232
all,2,N028,1,81.588,76,46193649,121921661,55997664
all,2,N029,1,80.997,76,43621565,121621538,61491236
all,2,N030,1,81.450,75,44398936,120851663,46123089
single,2,N001,1,68.167,63,35961746,100307580,51503243
all,2,N001,0,30.550,25,0,0,0
all,2,N002,0,44.851,40,0,0,0
all,2,N003,0,44.124,39,0,0,0
all,2,N004,0,31.565,27,0,0,0
all,2,N005,0,49.022,44,0,0,0
all,2,N006,0,29.844,25,0,0,0
all,2,N007,0,36.339,31,0,0,0
all,2,N008,0,65.436,60,0,0,0
all,2,N009,0,35.310,30,0,0,0
all,2,N010,0,43.630,39,0,0,0
all,2,N011,0,42.156,37,0,0,0
all,2,N012,0,34.585,30,0,0,0
all,2,N013,0,39.265,35,0,0,0
all,2,N014,0,53.367,48,0,0,0
all,2,N015,0,45.984,41,0,0,0
all,2,N016,0,31.927,27,0,0,0
all,2,N017,0,31.028,26,0,0,0
all,2,N018,0,26.989,23,0,0,0
all,2,N019,0,43.591,39,0,0,0
all,2,N020,0,42.625,37,0,0,0
all,2,N021,0,43.677,39,0,0,0
all,2,N022,0,43.040,38,0,0,0
all,2,N023,0,43.548,39,0,0,0
all,2,N024,0,42.496,38,0,0,0
all,2,N025,0,43.768,39,0,0,0
all,2,N026,0,45.332,40,0,0,0
all,2,N027,0,43.250,38,0,0,0
all,2,N028,0,43.504,38,0,0,0
all,2,N029,0,44.230,38,0,0,0
all,2,N030,0,43.652,38,0,0,0
single,2,N001,0,10.320,3,0,0,0
all,3,N001,1,85.190,79,52174892,122320324,56275224
all,3,N002,1,78.318,73,43399886,115122405,66154508
all,3,N003,1,51.154,47,28048728,72898286,25934671
all,3,N004,1,80.456,76,44432631,120492123,69682645
all,3,N005,1,74.876,69,42693231,107832294,58645154
all,3,N006,1,82.019,76,44549692,119361164,51970229
all,3,N007,1,81.118,76,43722600,119861334,70255172
all,3,N008,1,82.209,76,44325686,121094728,64286479
all,3,N009,1,68.506,63,38025196,99328408,45411668
all,3,N010,1,81.197,76,44283973,120618629,64119894
all,3,N011,1,81.075,76,43438254,121326286,61020127
all,3,N012,1,79.962,76,42704301,120916493,61005988
all,3,N013,1,79.783,75,43865345,119640584,55417736
all,3,N014,1,80.735,75,45847729,120331146,57047175
all,3,N015,1,80.865,76,44807901,121761337,43628612
all,3,N016,1,79.596,75,45148066,120174975,61994759
all,3,N017,1,80.853,76,43046217,121500411,74742547
all,3,N018,1,80.578,75,44302717,120286716,73071751
all,3,N019,1,81.692,76,47738517,121569347,58285039
all,3,N020,1,69.173,63,36449139,100223970,59168020
all,3,N021,1,79.634,75,43300593,119165931,85985976
all,3,N022,1,68.298,63,37326147,99741466,57336593
all,3,N023,1,83.364,76,45667784,122618583,72589269
all,3,N024,1,82.421,75,44973531,119579390,63009862
all,3,N025,1,81.440,76,45293551,121414389,44735029
all,3,N026,1,79.042,73,42529464,116579686,43444595
all,3,N027,1,82.081,76,45503529,120069088,48547053
all,3,N028,1,81.057,75,44149928,119675603,74810602
all,3,N029,1,80.277,75,43395182,120032135,55301271
all,3,N030,1,80.929,76,43276024,120373984,65146567
single,3,N001,1,81.262,76,45029217,120325181,56768258
all,3,N001,0,46.495,42,0,0,0
all,3,N002,0,46.004,41,0,0,0
all,3,N003,0,30.116,26,0,0,0
all,3,N004,0,35.982,31,0,0,0
all,3,N005,0,46.019,42,0,0,0
all,3,N006,0,36.667,32,0,0,0
all,3,N007,0,29.421,25,0,0,0
all,3,N008,0,35.468,32,0,0,0
all,3,N009,0,45.666,41,0,0,0
all,3,N010,0,36.934,33,0,0,0
all,3,N011,0,67.169,62,0,0,0
all,3,N012,0,47.274,42,0,0,0
all,3,N013,0,36.970,32,0,0,0
all,3,N014,0,46.202,41,0,0,0
all,3,N015,0,44.890,40,0,0,0
all,3,N016,0,45.399,41,0,0,0
all,3,N017,0,45.809,41,0,0,0
all,3,N018,0,45.484,41,0,0,0
all,3,N019,0,46.763,42,0,0,0
all,3,N020,0,46.895,42,0,0,0
all,3,N021,0,35.157,30,0,0,0
all,3,N022,0,47.483,41,0,0,0
all,3,N023,0,46.843,42,0,0,0
all,3,N024,0,45.848,41,0,0,0
all,3,N025,0,46.042,41,0,0,0
all,3,N026,0,46.005,41,0,0,0
all,3,N027,0,44.676,40,0,0,0
all,3,N028,0,47.701,42,0,0,0
all,3,N029,0,46.797,42,0,0,0
all,3,N030,0,47.026,42,0,0,0
single,3,N001,0,7.459,3,0,0,0
all,4,N001,1,82.842,78,44205359,124807434,54252313
all,4,N002,1,80.610,75,42588222,119607512,63014368
all,4,N003,1,68.311,62,34354179,99205657,48152209
all,4,N004,1,81.942,76,43050037,120754318,55984912
all,4,N005,1,81.041,76,43034064,122021047,70074578
all,4,N006,1,80.361,75,42678515,120344231,45097896
all,4,N007,1,81.536,76,42549085,120972197,54689305
all,4,N008,1,82.130,76,42998332,121457959,90144827
all,4,N009,1,83.177,77,43767610,121942633,72320573
all,4,N010,1,79.668,74,42678422,119551241,49953582
all,4,N011,1,78.961,74,42267576,119002935,64920637
all,4,N012,1,81.005,76,43099304,121574474,41686211
all,4,N013,1,82.882,77,44286671,123910058,74897360
all,4,N014,1,80.489,75,43143922,120998544,67568227
all,4,N015,1,78.813,74,42045502,118269903,62686704
all,4,N016,1,80.769,76,45306400,121511551,44952180
all,4,N017,1,80.056,75,42405165,120446617,75146607
all,4,N018,1,92.789,88,51122115,140170451,54055735
all,4,N019,1,82.255,77,43156204,124094303,111618555
all,4,N020,1,74.669,69,39522140,111465798,84168606
all,4,N021,1,80.336,75,42388408,121120223,37891606
all,4,N022,1,77.501,73,45142428,116749813,51250330
all,4,N023,1,80.782,76,43049735,121659074,69962403
all,4,N024,1,77.982,73,42642070,118276730,77920677
all,4,N025,1,80.227,75,42871627,123128993,53352524
all,4,N026,1,80.067,75,42571952,121077595,59359898
all,4,N027,1,79.879,75,43710407,121297316,57889470
all,4,N028,1,80.330,75,42743490,121207923,61747664
all,4,N029,1,80.007,75,43315614,119890810,43035171
all,4,N030,1,79.398,74,42939912,119892807,40725825
single,4,N001,1,66.575,62,35468607,99494436,40395921
all,4,N001,0,43.924,39,0,0,0
all,4,N002,0,59.134,54,0,0,0
all,4,N003,0,36.303,31,0,0,0
all,4,N004,0,45.382,41,0,0,0
