timestamp_utc,epoch,server_rtt_ms,es_rtt_ms
2026-05-02T06:18:06.367633+00:00,1,12.0375,390.1228
2026-05-02T06:18:28.463542+00:00,2,12.3930,334.3774
2026-05-02T06:18:49.516392+00:00,3,13.4352,307.7307
2026-05-02T06:19:09.714316+00:00,4,11.9372,414.6385
2026-05-02T06:19:29.694856+00:00,5,11.9548,389.9086
2026-05-05T06:32:07.906692+00:00,1,5.9061,787.0407
2026-05-05T06:33:32.970327+00:00,2,4.6624,1186.4915
2026-05-05T06:34:59.070525+00:00,3,5.2015,963.2411
2026-05-05T06:36:25.572449+00:00,4,4.1618,1104.8563
2026-05-05T06:37:47.525080+00:00,5,4.6168,1131.5235
2026-05-05T06:39:11.919661+00:00,6,4.9295,1718.5192
2026-05-05T06:40:38.122973+00:00,7,4.7578,1212.8080
2026-05-05T06:42:06.501248+00:00,8,4.6713,1043.1715
2026-05-05T06:43:28.691028+00:00,9,4.9929,1358.4745
2026-05-05T06:44:53.029935+00:00,10,4.9843,1640.3898
2026-05-05T06:47:36.278772+00:00,1,4.8681,726.4852
2026-05-05T06:49:01.882187+00:00,2,5.0149,1209.5849
2026-05-05T06:50:24.981056+00:00,3,4.9920,902.5046
