timestamp_utc,epoch,rows_ingested,server_ingest_ms,es_ingest_ms,server_query_ms,es_query_ms,server_solver_ms,es_solver_ms,server_total_ms,es_total_ms,solver_task_count,solver_node_count,query_node_count,all_nodes_count,all_tasks_count
2026-02-18T03:18:15.318773+00:00,1,1000000,25520.8980,104391.8934,15.0469,1081.5646,3852.9521,3807.3785,29388.8971,109280.8364,0,30,30,30,62
2026-02-18T03:20:36.619939+00:00,2,1000000,25596.9359,104396.5232,12.1664,1088.9813,3826.5523,3805.7227,29435.6546,109291.2271,0,30,30,30,62
2026-02-18T03:23:01.583423+00:00,3,1000000,25669.9730,107996.0747,11.4578,1041.0776,3921.5962,3808.8367,29603.0269,112845.9890,0,30,30,30,62
2026-02-18T03:25:24.275421+00:00,4,1000000,25746.8854,105697.3761,11.6849,1112.4544,3772.6538,3839.7238,29531.2240,110649.5543,0,30,30,30,62
2026-02-18T03:27:53.267558+00:00,5,1000000,25668.2101,111537.0705,10.5875,1486.1731,3859.8214,3847.8105,29538.6190,116871.0541,0,30,30,30,62
2026-02-18T03:30:14.406248+00:00,6,1000000,25532.9382,104278.8340,14.0482,1062.8510,3894.5240,3838.5262,29441.5104,109180.2112,0,30,30,30,62
2026-02-18T03:32:37.370965+00:00,7,1000000,25798.1494,105911.2557,12.4783,1016.9693,3870.6231,3822.4906,29681.2508,110750.7156,0,30,30,30,62
2026-02-18T03:35:00.106800+00:00,8,1000000,25936.5573,105519.4810,11.7548,1015.4602,3838.3158,3831.8670,29786.6279,110366.8082,0,30,30,30,62
2026-02-18T03:37:29.677484+00:00,9,1000000,25704.3650,112039.7869,11.8790,1612.0524,3838.1074,3830.0146,29554.3513,117481.8540,0,30,30,30,62
2026-02-18T03:39:51.565263+00:00,10,1000000,25743.9145,104789.2225,11.5853,1176.6905,3822.0883,3815.0148,29577.5881,109780.9277,0,30,30,30,62
