timestamp_utc,epoch,rows_ingested,server_ingest_ms,es_ingest_ms,server_query_ms,es_query_ms,server_solver_ms,es_solver_ms,server_total_ms,es_total_ms,solver_task_count,solver_node_count,query_node_count,all_nodes_count,all_tasks_count
2026-02-18T03:43:33.026953+00:00,1,1000000,25680.9957,104989.4721,10.8680,1028.7170,41935.6906,41826.1688,67627.5542,147844.3579,0,0,0,30,62
2026-02-18T03:47:10.068047+00:00,2,1000000,25648.7824,104335.0979,12.0292,1050.0258,41781.2671,41651.6095,67442.0787,147036.7332,0,0,0,30,62
2026-02-18T03:50:46.730356+00:00,3,1000000,25598.1921,103663.7218,11.8067,1001.3014,41926.2648,41955.2376,67536.2636,146620.2608,0,0,0,30,62
2026-02-18T03:54:31.297570+00:00,4,1000000,25544.1340,111596.1905,10.8633,1131.5622,41934.9245,41788.1862,67489.9217,154515.9389,0,0,0,30,62
2026-02-18T03:58:09.354587+00:00,5,1000000,25688.4770,104282.0393,13.4433,1712.8876,41956.0329,41910.1931,67657.9532,147905.1199,0,0,0,30,62
2026-02-18T04:01:45.978861+00:00,6,1000000,25729.9493,103436.1054,12.9528,1095.2927,42009.9963,41844.6079,67752.8983,146376.0061,0,0,0,30,62
2026-02-18T04:05:23.463654+00:00,7,1000000,25842.5858,104186.0414,12.3193,1008.3534,41919.3240,42013.2214,67774.2291,147207.6163,0,0,0,30,62
2026-02-18T04:09:01.727210+00:00,8,1000000,25546.0813,105475.2877,11.7575,1028.9015,41790.0968,41849.1483,67347.9357,148353.3375,0,0,0,30,62
2026-02-18T04:12:39.248078+00:00,9,1000000,25777.1099,104353.2170,13.9105,1193.1624,41991.4198,41656.7715,67782.4403,147203.1509,0,0,0,30,62
2026-02-18T04:16:21.446625+00:00,10,1000000,25869.1716,108346.9851,12.6521,1845.2819,41893.3674,41762.7650,67775.1912,151955.0320,0,0,0,30,62
