timestamp_utc,run,epoch,rows,usage_quantile,arrivals,sketch_ingest_ms,es_ingest_ms,sketch_query_ms,es_query_ms,sketch_solver_ms,es_solver_ms,sketch_solver_status,es_solver_status,sketch_assigned,es_assigned,sketch_pending_before,es_pending_before,sketch_running,es_running,sketch_completed,es_completed,sketch_dropped,es_dropped,sketch_objective,es_objective,cpu_q_max_abs_err,cpu_q_max_rel_err_pct,mem_q_max_abs_err,solver_backend
2026-09-06T07:56:51.543833+00:00,0,0,996800,50.0,66,3032.773,28921.531,6.762,512.307,284.572,276.330,OPTIMAL,OPTIMAL,66,66,66,66,66,66,0,0,0,0,66.000000,66.000000,0.21426275,44.882885,0.01304276,SCIP
2026-09-06T07:57:31.525193+00:00,0,1,996800,50.0,61,3054.396,29512.770,4.938,593.700,187.569,232.162,OPTIMAL,OPTIMAL,61,61,61,61,120,120,7,7,0,0,61.000000,61.000000,0.20631145,42.278087,0.01283933,SCIP
2026-09-06T07:58:34.543256+00:00,0,2,996800,50.0,55,3071.156,29106.279,4.519,668.537,23150.912,621.677,OPTIMAL,OPTIMAL,52,52,55,55,132,132,47,47,0,0,52.000000,52.000000,0.21047530,40.531036,0.01372529,SCIP
2026-09-06T07:59:17.181411+00:00,0,3,996800,50.0,64,3176.583,30590.019,3.761,934.336,720.062,833.241,OPTIMAL,OPTIMAL,67,67,67,67,137,137,109,109,0,0,67.000000,67.000000,0.16634809,40.596476,0.01451704,SCIP
2026-09-06T07:59:57.894882+00:00,0,4,996800,50.0,56,3188.201,29869.726,5.984,498.300,129.151,720.645,OPTIMAL,OPTIMAL,56,56,56,56,131,131,171,171,0,0,56.000000,56.000000,0.18743391,43.552879,0.01205363,SCIP
2026-09-06T08:01:41.133682+00:00,0,5,996800,50.0,69,3162.587,29107.751,5.891,635.899,3909.891,60070.352,OPTIMAL,FEASIBLE,68,67,69,69,139,138,231,231,0,0,68.000000,67.000000,0.22302237,41.787987,0.01439771,SCIP
2026-09-06T08:02:34.441663+00:00,0,6,996800,50.0,67,3133.355,32053.002,5.521,1020.158,5821.962,5040.047,OPTIMAL,OPTIMAL,68,68,68,69,149,149,289,288,0,0,68.000000,68.000000,0.13172027,31.863013,0.01363549,SCIP
2026-09-06T08:04:29.191643+00:00,0,7,996800,50.0,69,3113.547,30424.057,5.626,940.258,14074.957,60078.284,OPTIMAL,FEASIBLE,64,65,69,70,146,146,356,356,0,0,64.000000,65.000000,0.17903475,36.818338,0.01382061,SCIP
2026-09-06T08:05:12.763477+00:00,0,8,996800,50.0,52,3120.387,30789.699,5.317,987.287,1953.387,519.073,OPTIMAL,OPTIMAL,57,57,57,57,134,134,425,425,0,0,57.000000,57.000000,0.16033551,39.631523,0.01237946,SCIP
2026-09-06T08:05:53.378374+00:00,0,9,996800,50.0,46,3115.258,30076.389,5.974,1086.125,107.263,70.723,OPTIMAL,OPTIMAL,46,46,46,46,115,115,490,490,0,0,46.000000,46.000000,0.12941214,29.534545,0.01338879,SCIP
2026-09-06T08:06:33.313336+00:00,1,0,996800,50.0,66,3085.459,29020.161,7.366,480.443,268.145,235.007,OPTIMAL,OPTIMAL,66,66,66,66,66,66,0,0,0,0,66.000000,66.000000,0.21348468,43.163345,0.01315281,SCIP
2026-09-06T08:07:12.679139+00:00,1,1,996800,50.0,61,3093.690,29228.540,5.469,578.246,143.720,109.502,OPTIMAL,OPTIMAL,61,61,61,61,120,120,7,7,0,0,61.000000,61.000000,0.16585629,37.153595,0.01423093,SCIP
2026-09-06T08:08:48.848690+00:00,1,2,996800,50.0,55,3090.926,30417.565,5.370,709.520,36367.336,19322.608,OPTIMAL,OPTIMAL,52,52,55,55,132,132,47,47,0,0,52.000000,52.000000,0.19204956,38.248795,0.01508371,SCIP
2026-09-06T08:09:31.670267+00:00,1,3,996800,50.0,64,3098.506,30809.848,5.048,1031.881,965.259,719.380,OPTIMAL,OPTIMAL,67,67,67,67,137,137,109,109,0,0,67.000000,67.000000,0.21640982,41.154527,0.01272077,SCIP
2026-09-06T08:10:12.445236+00:00,1,4,996800,50.0,56,3133.276,29990.717,5.711,756.637,132.011,519.264,OPTIMAL,OPTIMAL,56,56,56,56,130,131,172,171,0,0,56.000000,56.000000,0.20252816,39.511155,0.01510421,SCIP
2026-09-06T08:11:01.273290+00:00,1,5,996800,50.0,69,3098.377,28268.821,6.200,692.466,6339.661,4151.725,OPTIMAL,OPTIMAL,67,67,69,69,139,138,230,231,0,0,67.000000,67.000000,0.20189733,41.188697,0.01404058,SCIP
