run,epoch,node,cpu_sketch,cpu_es,mem_avail_sketch,mem_avail_es
0,0,APC-0,1.348510,1.334157,13.639921,13.627457
0,0,APC-1,0.136014,0.138290,13.971239,13.966969
0,0,APC-2,0.203315,0.206918,13.832223,13.820725
0,0,APC-3,0.203315,0.209204,13.971239,13.960734
0,0,CHQ-1,1.860788,1.887873,17.725441,17.722627
0,0,PLT-0,0.716770,0.753735,13.667228,13.655923
0,0,PLT-1,0.310057,0.482101,13.694590,13.704175
0,0,PLT-10,1.585659,1.522307,14.111653,14.108960
0,0,PLT-11,0.243412,0.416648,14.168212,14.170478
0,0,PLT-2,0.472839,0.592202,13.777005,13.771865
0,0,PLT-3,1.529591,1.484667,14.139904,14.129245
0,0,PLT-4,1.680347,1.603157,14.111653,14.113079
0,0,PLT-5,0.168807,0.169795,14.111653,14.102157
0,0,PLT-6,0.068495,0.068578,14.139904,14.131440
0,0,PLT-7,0.170503,0.171953,14.111653,14.113864
0,0,PLT-8,0.064506,0.064871,14.168212,14.154974
0,0,PLT-9,0.281112,0.471533,14.111653,14.113027
0,0,UGS-0,0.070581,0.070761,1.734987,1.735484
0,0,UGS-1,0.153662,0.153615,1.624175,1.624059
0,0,UGS-10,0.057097,0.057064,1.548056,1.547449
0,0,UGS-11,0.143848,0.143858,1.569882,1.568918
0,0,UGS-12,0.061483,0.061329,1.551156,1.550387
0,0,UGS-13,0.131994,0.132291,1.617692,1.617456
0,0,UGS-14,0.051560,0.051660,1.569882,1.571173
0,0,UGS-15,0.057671,0.057197,1.637221,1.635840
0,0,UGS-16,0.137931,0.138318,1.560490,1.560854
0,0,UGS-2,0.134391,0.136933,1.566745,1.566656
0,0,UGS-20,0.057902,0.058106,1.617692,1.617218
0,0,UGS-21,0.139876,0.140627,1.520441,1.519070
0,0,UGS-22,0.146168,0.145504,1.502304,1.501083
0,0,UGS-23,0.145293,0.145082,1.563615,1.562524
0,0,UGS-24,0.138484,0.139127,1.627427,1.627276
0,0,UGS-25,0.055188,0.055435,1.627427,1.628214
0,0,UGS-26,0.136559,0.136106,1.532653,1.532182
0,0,UGS-27,0.058018,0.058098,1.611234,1.612280
0,0,UGS-28,0.148823,0.148542,1.576174,1.576828
0,0,UGS-29,0.058601,0.058507,1.630685,1.630146
0,0,UGS-3,0.065284,0.065256,1.611234,1.610576
0,0,UGS-4,0.056303,0.056443,1.687082,1.688438
0,0,UGS-5,0.128349,0.128354,1.573024,1.574274
0,0,UGS-6,0.055410,0.055487,1.604802,1.604518
0,0,UGS-7,0.060749,0.061812,1.548056,1.547455
0,0,UGS-8,0.142132,0.142252,1.573024,1.572636
0,0,UGS-9,0.159933,0.159366,1.611234,1.612906
0,1,APC-0,1.348510,1.337809,13.639921,13.626662
0,1,APC-1,0.135742,0.137517,13.971239,13.961546
0,1,APC-2,0.203722,0.204890,13.832223,13.825087
0,1,APC-3,0.203315,0.210676,13.971239,13.961807
0,1,CHQ-1,1.860788,1.864006,17.725441,17.718736
