timestamp_utc,run,epoch,scenario,estimator,rule,gamma,lam,arrivals,pending_before,assigned,running,completed_this_epoch,completed_total,evicted_total,moves_this_epoch,constrained_tasks,overcommitted_nodes,mean_grant_ratio,solver_ms,solver_status,objective,est_cpu_err_mean,est_cpu_err_p90
2026-09-04T23:45:56.518811+00:00,0,0,static,static,request,0,0.0,38,38,38,38,0,0,0,0,0,0,1.0000,77.727,OPTIMAL,38.000000,,
2026-09-04T23:45:56.572928+00:00,0,0,reassign,static,request,10,1.0,38,38,38,38,0,0,0,0,0,0,1.0000,53.577,OPTIMAL,38.000000,,
2026-09-04T23:45:56.634474+00:00,0,0,dynamic,sketch,p50,0,0.0,38,38,38,38,0,0,0,0,0,0,1.0000,61.006,OPTIMAL,38.000000,,
2026-09-04T23:45:56.697418+00:00,0,0,dynamic+reassign,sketch,p50,10,1.0,38,38,38,38,0,0,0,0,0,0,1.0000,62.430,OPTIMAL,38.000000,,
2026-09-04T23:45:56.758814+00:00,0,0,p50-1.2xalloc,sketch,p50bump,10,1.0,38,38,38,38,0,0,0,0,0,0,1.0000,60.877,OPTIMAL,38.000000,,
2026-09-04T23:45:56.821357+00:00,0,0,avg-p50p75-1.2xalloc,sketch,avgp50p75bump,10,1.0,38,38,38,38,0,0,0,0,0,0,1.0000,61.990,OPTIMAL,38.000000,,
2026-09-04T23:45:56.883612+00:00,0,0,window-avg,sketch,window,10,1.0,38,38,38,38,0,0,0,0,0,0,1.0000,61.693,OPTIMAL,38.000000,,
2026-09-04T23:45:56.947583+00:00,0,0,p90,sketch,p90,10,1.0,38,38,38,38,0,0,0,0,0,0,1.0000,63.415,OPTIMAL,38.000000,,
2026-09-04T23:45:57.016528+00:00,0,0,avg-epoch,sketch,avg,10,1.0,38,38,38,38,0,0,0,0,0,0,1.0000,68.273,OPTIMAL,38.000000,,
2026-09-04T23:46:00.955731+00:00,0,1,static,static,request,0,0.0,23,23,23,61,0,0,0,0,0,0,1.0000,32.795,OPTIMAL,23.000000,49.4735,92.2246
2026-09-04T23:46:01.070911+00:00,0,1,reassign,static,request,10,1.0,23,23,61,61,0,0,0,0,0,0,1.0000,110.692,OPTIMAL,3823.000000,49.4735,92.2246
2026-09-04T23:46:01.150321+00:00,0,1,dynamic,sketch,p50,0,0.0,23,23,23,61,0,0,0,0,0,0,1.0000,39.327,OPTIMAL,23.000000,0.6043,1.0299
2026-09-04T23:46:01.334679+00:00,0,1,dynamic+reassign,sketch,p50,10,1.0,23,23,61,61,0,0,0,0,0,0,1.0000,144.577,OPTIMAL,3823.000000,0.6043,1.0299
2026-09-04T23:46:01.585744+00:00,0,1,p50-1.2xalloc,sketch,p50bump,10,1.0,23,23,61,61,0,0,0,0,0,0,1.0000,209.940,OPTIMAL,3823.000000,3.1126,1.2074
