rows,ingest_ms,median_query_ms,min_query_ms,max_query_ms,median_solver_ms,min_solver_ms,max_solver_ms
1000,996.1252,111.3438,83.5099,129.3806,1820.4084,1521.3634,2162.1730
2000,997.1382,124.1390,97.9735,150.8943,414.2327,250.3724,442.1591
4000,992.7134,107.8466,87.7416,131.9845,340.3043,221.8086,469.1139
8000,1006.6722,93.0368,91.6221,137.4820,294.5068,290.6639,549.9874
16000,2045.8881,119.7239,103.9555,155.8848,276.0701,265.4537,594.0247
32000,3058.4945,158.8329,143.6471,171.8260,410.2005,263.9232,499.7361
64000,5169.8299,195.1344,190.5131,236.7208,357.6157,355.1028,657.8521
128000,10106.9406,260.7838,240.3707,272.2972,502.8206,315.1469,581.8181
256000,18773.5052,391.1022,371.9462,406.5584,450.4336,388.2400,526.9903
512000,39572.9833,409.4519,388.5528,538.3870,808.7091,643.4927,848.4524
1024000,74166.1645,813.7147,769.3390,823.2822,697.1066,667.9132,741.4424
