variant,transport,epoch,pass,scope,n_subs,wall_ms,took_ms
C_hdr,msearch,4,1,BATCH,30,126.607,1007
C_td,serial,4,1,N001,1,49.388,44
C_td,serial,4,1,N002,1,48.886,44
C_td,serial,4,1,N003,1,47.836,44
C_td,serial,4,1,N004,1,49.216,45
C_td,serial,4,1,N005,1,48.356,44
C_td,serial,4,1,N006,1,48.707,44
C_td,serial,4,1,N007,1,48.204,44
C_td,serial,4,1,N008,1,48.168,44
C_td,serial,4,1,N009,1,48.176,44
C_td,serial,4,1,N010,1,47.681,44
C_td,serial,4,1,N011,1,48.147,44
C_td,serial,4,1,N012,1,48.475,44
C_td,serial,4,1,N013,1,48.154,44
C_td,serial,4,1,N014,1,47.920,44
C_td,serial,4,1,N015,1,48.483,44
C_td,serial,4,1,N016,1,47.759,43
C_td,serial,4,1,N017,1,48.125,44
C_td,serial,4,1,N018,1,48.295,44
C_td,serial,4,1,N019,1,49.303,45
C_td,serial,4,1,N020,1,49.168,45
C_td,serial,4,1,N021,1,48.095,44
C_td,serial,4,1,N022,1,48.783,45
C_td,serial,4,1,N023,1,48.313,44
C_td,serial,4,1,N024,1,48.830,44
C_td,serial,4,1,N025,1,48.442,44
C_td,serial,4,1,N026,1,45.945,42
C_td,serial,4,1,N027,1,45.262,41
C_td,serial,4,1,N028,1,48.173,44
C_td,serial,4,1,N029,1,48.159,44
C_td,serial,4,1,N030,1,48.197,44
D_hdr,serial,5,1,N001,1,30.241,25
D_hdr,serial,5,1,N002,1,29.669,25
D_hdr,serial,5,1,N003,1,30.812,26
D_hdr,serial,5,1,N004,1,28.975,24
D_hdr,serial,5,1,N005,1,28.924,24
D_hdr,serial,5,1,N006,1,29.369,25
D_hdr,serial,5,1,N007,1,29.367,25
D_hdr,serial,5,1,N008,1,29.002,24
D_hdr,serial,5,1,N009,1,32.796,28
D_hdr,serial,5,1,N010,1,27.472,22
D_hdr,serial,5,1,N011,1,29.653,25
D_hdr,serial,5,1,N012,1,26.589,22
D_hdr,serial,5,1,N013,1,28.773,25
