timestamp_utc,run,epoch,rows,usage_quantile,arrivals,sketch_ingest_ms,es_ingest_ms,sketch_query_ms,es_query_ms,sketch_solver_ms,es_solver_ms,sketch_solver_status,es_solver_status,sketch_assigned,es_assigned,sketch_pending_before,es_pending_before,sketch_running,es_running,sketch_completed,es_completed,sketch_dropped,es_dropped,sketch_objective,es_objective,cpu_q_max_abs_err,cpu_q_max_rel_err_pct,mem_q_max_abs_err,solver_backend
2026-09-06T06:06:49.886457+00:00,0,0,996800,50.0,66,3178.578,28855.502,7.695,477.499,278.750,235.243,OPTIMAL,OPTIMAL,66,66,66,66,66,66,0,0,0,0,66.000000,66.000000,0.21960785,43.259030,0.00552971,SCIP
2026-09-06T06:07:29.245828+00:00,0,1,996800,50.0,61,3183.935,29155.343,6.162,560.290,144.648,108.362,OPTIMAL,OPTIMAL,61,61,61,61,120,120,7,7,0,0,61.000000,61.000000,0.17360075,36.487092,0.00381688,SCIP
2026-09-06T06:08:11.740147+00:00,0,2,996800,50.0,55,3122.346,29457.764,5.685,675.385,1120.853,1946.421,OPTIMAL,OPTIMAL,52,52,55,55,132,132,47,47,0,0,52.000000,52.000000,0.18795673,38.234782,0.00627041,SCIP
2026-09-06T06:08:52.616083+00:00,0,3,996800,50.0,64,3089.228,29565.493,5.674,795.940,657.010,647.495,OPTIMAL,OPTIMAL,67,67,67,67,137,137,109,109,0,0,67.000000,67.000000,0.16980122,41.517386,0.00383539,SCIP
2026-09-06T06:09:32.308379+00:00,0,4,996800,50.0,56,3171.667,29600.932,6.228,504.867,133.914,104.741,OPTIMAL,OPTIMAL,56,56,56,56,131,130,171,172,0,0,56.000000,56.000000,0.19956601,40.046620,0.00784437,SCIP
2026-09-06T06:12:12.357586+00:00,0,5,996800,50.0,69,3111.337,29661.753,5.900,948.660,60113.160,60066.938,FEASIBLE,FEASIBLE,67,66,69,69,138,138,231,230,0,0,67.000000,66.000000,0.15147537,34.493844,0.00679963,SCIP
2026-09-06T06:14:05.314957+00:00,0,6,996800,50.0,67,3157.327,32066.130,5.326,989.116,10565.416,60057.510,OPTIMAL,FEASIBLE,69,69,69,70,149,148,289,289,0,0,69.000000,69.000000,0.15656651,39.002242,0.00840631,SCIP
2026-09-06T06:15:45.690886+00:00,0,7,996800,50.0,69,3108.121,31575.260,5.258,1093.324,56476.167,1977.814,OPTIMAL,OPTIMAL,64,66,69,70,146,147,356,356,0,0,64.000000,66.000000,0.20324841,42.196924,0.00663789,SCIP
2026-09-06T06:16:33.999654+00:00,0,8,996800,50.0,52,3120.849,32155.727,5.310,1097.053,3696.204,2049.513,OPTIMAL,OPTIMAL,57,55,57,56,135,136,424,422,0,0,57.000000,55.000000,0.16060498,39.299893,0.00685120,SCIP
2026-09-06T06:17:14.863252+00:00,0,9,996800,50.0,46,3265.752,30263.772,6.573,790.127,113.457,122.936,OPTIMAL,OPTIMAL,46,47,46,47,115,114,490,491,0,0,46.000000,47.000000,0.17798398,41.584911,0.00825021,SCIP
2026-09-06T06:17:55.856569+00:00,1,0,996800,50.0,66,3236.948,29678.020,8.273,536.975,285.328,238.530,OPTIMAL,OPTIMAL,66,66,66,66,66,66,0,0,0,0,66.000000,66.000000,0.21717517,41.808824,0.00503814,SCIP
2026-09-06T06:18:35.328748+00:00,1,1,996800,50.0,61,3204.934,29120.157,5.628,569.262,154.349,125.622,OPTIMAL,OPTIMAL,61,61,61,61,120,120,7,7,0,0,61.000000,61.000000,0.16823615,36.527802,0.00592180,SCIP
2026-09-06T06:20:15.814940+00:00,1,2,996800,50.0,55,3172.296,29680.754,5.952,703.711,60173.312,475.722,FEASIBLE,OPTIMAL,51,52,55,55,131,132,47,47,0,0,51.000000,52.000000,0.17236950,41.499569,0.00666012,SCIP
2026-09-06T06:20:58.622847+00:00,1,3,996800,50.0,64,3111.520,31004.090,5.266,1057.445,1407.745,113.972,OPTIMAL,OPTIMAL,68,67,68,67,137,137,109,109,0,0,68.000000,67.000000,0.21564593,41.009259,0.00535257,SCIP
2026-09-06T06:21:39.481040+00:00,1,4,996800,50.0,56,3173.389,29630.510,5.647,732.516,780.615,120.641,OPTIMAL,OPTIMAL,56,56,56,56,132,131,170,171,0,0,56.000000,56.000000,0.16160022,40.194939,0.00603223,SCIP
2026-09-06T06:24:19.057339+00:00,1,5,996800,50.0,69,3225.797,28889.784,6.194,808.803,60172.566,60093.725,FEASIBLE,FEASIBLE,68,67,69,69,139,138,231,231,0,0,68.000000,67.000000,0.18627027,41.791934,0.00605437,SCIP
2026-09-06T06:26:03.311945+00:00,1,6,996800,50.0,67,3172.490,31167.722,5.022,1071.244,60107.409,2531.837,FEASIBLE,OPTIMAL,67,69,68,69,149,149,288,289,0,0,67.000000,69.000000,0.22789022,42.915060,0.00673794,SCIP
2026-09-06T06:27:16.340081+00:00,1,7,996800,50.0,69,3132.992,32955.911,6.142,970.603,19251.944,10572.385,OPTIMAL,OPTIMAL,65,64,70,69,147,146,355,356,0,0,65.000000,64.000000,0.15161601,33.593531,0.00372310,SCIP
2026-09-06T06:28:06.263454+00:00,1,8,996800,50.0,52,3074.128,31867.364,5.363,1059.498,122.809,7684.578,OPTIMAL,OPTIMAL,57,57,57,57,133,135,426,424,0,0,57.000000,57.000000,0.20812482,41.053918,0.00556157,SCIP
2026-09-06T06:28:46.252045+00:00,1,9,996800,50.0,46,3029.577,29472.658,5.455,1130.692,117.323,71.997,OPTIMAL,OPTIMAL,46,46,46,46,115,115,490,490,0,0,46.000000,46.000000,0.17328479,36.426883,0.00523050,SCIP
