run,epoch,node,cpu_sketch,cpu_es,mem_avail_sketch,mem_avail_es
0,0,APC-0,1.345876,1.322047,13.625898,13.627144
0,0,APC-1,0.136305,0.137628,13.969981,13.964610
0,0,APC-2,0.202252,0.207518,13.821007,13.821216
0,0,APC-3,0.203375,0.208397,13.960030,13.960549
0,0,CHQ-1,1.860659,1.862405,17.720865,17.719457
0,0,PLT-0,0.698030,0.761576,13.660726,13.660636
0,0,PLT-1,0.299893,0.458970,13.703182,13.703026
0,0,PLT-10,1.580439,1.510621,14.107491,14.109793
0,0,PLT-11,0.239811,0.349044,14.168721,14.171878
0,0,PLT-2,0.460545,0.581224,13.772103,13.774379
0,0,PLT-3,1.539891,1.456375,14.126721,14.129786
0,0,PLT-4,1.687372,1.652183,14.114882,14.111600
0,0,PLT-5,0.169059,0.169343,14.105268,14.102922
0,0,PLT-6,0.068512,0.068672,14.135763,14.132257
0,0,PLT-7,0.169927,0.171943,14.114523,14.114973
0,0,PLT-8,0.064581,0.064724,14.158463,14.154010
0,0,PLT-9,0.298159,0.427932,14.112648,14.112919
0,0,UGS-0,0.070693,0.070578,1.734986,1.735410
0,0,UGS-1,0.154341,0.153714,1.623768,1.623966
0,0,UGS-10,0.056983,0.057044,1.547613,1.547638
0,0,UGS-11,0.144544,0.143432,1.569605,1.568930
0,0,UGS-12,0.061361,0.061292,1.550851,1.550555
0,0,UGS-13,0.131999,0.132881,1.617289,1.617410
0,0,UGS-14,0.051452,0.051827,1.571234,1.571164
0,0,UGS-15,0.057799,0.057511,1.636207,1.635997
0,0,UGS-16,0.138361,0.138351,1.560694,1.560893
0,0,UGS-2,0.133096,0.135730,1.566231,1.566682
0,0,UGS-20,0.058016,0.058140,1.617379,1.617334
0,0,UGS-21,0.139321,0.140619,1.519482,1.519188
0,0,UGS-22,0.146767,0.146261,1.501335,1.501110
0,0,UGS-23,0.146199,0.145362,1.562665,1.562584
0,0,UGS-24,0.137968,0.138694,1.627041,1.627433
0,0,UGS-25,0.055348,0.055203,1.628613,1.628440
0,0,UGS-26,0.136499,0.136595,1.532411,1.532062
0,0,UGS-27,0.057459,0.057842,1.612137,1.612418
0,0,UGS-28,0.148822,0.148856,1.577143,1.576923
0,0,UGS-29,0.058536,0.059245,1.629968,1.630182
0,0,UGS-3,0.065327,0.065155,1.610774,1.610409
0,0,UGS-4,0.056262,0.056336,1.687971,1.688444
0,0,UGS-5,0.128957,0.128608,1.574117,1.574044
0,0,UGS-6,0.055540,0.055284,1.602884,1.604284
0,0,UGS-7,0.060602,0.061870,1.547690,1.547671
0,0,UGS-8,0.142162,0.142204,1.572561,1.572745
0,0,UGS-9,0.159456,0.159256,1.612694,1.612881
0,1,APC-0,1.348088,1.348739,13.627185,13.628390
0,1,APC-1,0.137096,0.137787,13.956793,13.962377
0,1,APC-2,0.203294,0.206428,13.823327,13.826404
0,1,APC-3,0.204345,0.206689,13.962867,13.960046
0,1,CHQ-1,1.867137,1.888553,17.719728,17.716428
0,1,PLT-0,0.701900,0.756871,13.660202,13.661990
0,1,PLT-1,0.310997,0.508137,13.699431,13.696697
0,1,PLT-10,1.595066,1.517856,14.108614,14.110408
0,1,PLT-11,0.240495,0.408521,14.166009,14.168590
0,1,PLT-2,0.482632,0.560587,13.772798,13.772649
0,1,PLT-3,1.532263,1.486284,14.128757,14.131830
0,1,PLT-4,1.681490,1.624678,14.118547,14.115988
0,1,PLT-5,0.168581,0.169999,14.100236,14.103966
0,1,PLT-6,0.068396,0.068459,14.133063,14.129356
0,1,PLT-7,0.169424,0.171674,14.113101,14.119255
0,1,PLT-8,0.064636,0.065260,14.151400,14.149344
0,1,PLT-9,0.279809,0.382155,14.105743,14.109181
0,1,UGS-0,0.070394,0.070680,1.736120,1.735803
0,1,UGS-1,0.152826,0.153511,1.623797,1.624040
0,1,UGS-10,0.057123,0.057197,1.547746,1.547700
0,1,UGS-11,0.143463,0.143575,1.569011,1.569098
0,1,UGS-12,0.061410,0.061253,1.550391,1.550401
0,1,UGS-13,0.131712,0.132753,1.617404,1.617287
0,1,UGS-14,0.051795,0.051699,1.570952,1.570529
0,1,UGS-15,0.057638,0.057302,1.636846,1.636470
0,1,UGS-16,0.137821,0.138310,1.561187,1.561335
0,1,UGS-2,0.134945,0.136154,1.566091,1.566245
0,1,UGS-20,0.058091,0.058052,1.616984,1.617191
0,1,UGS-21,0.140174,0.140456,1.518851,1.518807
0,1,UGS-22,0.145653,0.146367,1.500502,1.501021
0,1,UGS-23,0.145244,0.144928,1.562718,1.562510
0,1,UGS-24,0.139020,0.139066,1.627139,1.627258
0,1,UGS-25,0.054952,0.055166,1.627818,1.628288
0,1,UGS-26,0.135796,0.137113,1.532249,1.532380
0,1,UGS-27,0.058235,0.058477,1.611841,1.611763
0,1,UGS-28,0.148608,0.148309,1.576411,1.576674
0,1,UGS-29,0.058733,0.058863,1.630331,1.630684
0,1,UGS-3,0.065388,0.064914,1.611080,1.610763
