timestamp_utc,run,epoch,scenario,estimator,rule,gamma,lam,arrivals,pending_before,assigned,running,completed_this_epoch,completed_total,evicted_total,moves_this_epoch,constrained_tasks,overcommitted_nodes,mean_grant_ratio,solver_ms,solver_status,objective,est_cpu_err_mean,est_cpu_err_p90
2026-09-04T19:53:52.935250+00:00,0,0,static,static,request,10,1.0,38,38,38,38,0,0,0,0,0,0,1.0000,70.319,OPTIMAL,38.000000,,
2026-09-04T19:53:52.988303+00:00,0,0,sketch,sketch,p50,10,1.0,38,38,38,38,0,0,0,0,0,0,1.0000,52.507,OPTIMAL,38.000000,,
2026-09-04T19:53:53.038271+00:00,0,0,es,es,p50,10,1.0,38,38,38,38,0,0,0,0,0,0,1.0000,49.526,OPTIMAL,38.000000,,
2026-09-04T19:54:26.484801+00:00,0,1,static,static,request,10,1.0,23,23,61,61,0,0,0,0,5,0,0.9859,112.689,OPTIMAL,3823.000000,36.4883,70.9360
2026-09-04T19:54:26.637095+00:00,0,1,sketch,sketch,p50,10,1.0,23,23,61,61,0,0,0,0,5,0,0.9859,116.136,OPTIMAL,3823.000000,1.9744,2.0447
2026-09-04T19:54:27.233478+00:00,0,1,es,es,p50,10,1.0,23,23,61,61,0,0,0,0,5,0,0.9859,176.766,OPTIMAL,3823.000000,1.9481,1.9482
2026-09-04T19:55:03.858115+00:00,0,2,static,static,request,10,1.0,36,36,76,89,8,8,0,0,6,0,0.9900,886.196,OPTIMAL,4036.000000,38.3221,73.4660
2026-09-04T19:55:04.309552+00:00,0,2,sketch,sketch,p50,10,1.0,36,36,76,90,7,7,0,0,20,0,0.9654,390.426,OPTIMAL,4036.000000,4.7086,11.5617
2026-09-04T19:55:05.246475+00:00,0,2,es,es,p50,10,1.0,36,36,76,90,7,7,0,0,20,0,0.9654,175.522,OPTIMAL,4036.000000,4.6796,11.5617
2026-09-04T19:55:40.162283+00:00,0,3,static,static,request,10,1.0,34,34,50,103,10,18,0,0,11,1,0.9892,566.713,OPTIMAL,2624.000000,44.8002,85.8818
2026-09-04T19:55:40.936485+00:00,0,3,sketch,sketch,p50,10,1.0,34,34,72,111,11,18,0,2,35,0,0.9524,666.195,OPTIMAL,4030.000000,5.4456,19.6459
2026-09-04T19:55:43.044687+00:00,0,3,es,es,p50,10,1.0,34,34,72,111,11,18,0,0,35,0,0.9525,880.437,OPTIMAL,4032.000000,5.4241,19.6361
2026-09-04T19:56:17.820891+00:00,0,4,static,static,request,10,1.0,36,46,46,107,18,36,0,0,15,2,0.9898,461.851,OPTIMAL,2422.000000,48.4383,114.4524
2026-09-04T19:56:19.466099+00:00,0,4,sketch,sketch,p50,10,1.0,36,38,69,122,18,36,0,1,50,1,0.9444,1547.457,OPTIMAL,4028.000000,6.3991,21.9425
2026-09-04T19:56:21.766998+00:00,0,4,es,es,p50,10,1.0,36,38,70,123,18,36,0,1,55,2,0.9475,1457.900,OPTIMAL,4029.000000,6.3529,21.8800
2026-09-04T19:57:00.443907+00:00,0,5,static,static,request,10,1.0,34,58,64,112,27,63,0,0,13,2,0.9888,5519.075,OPTIMAL,3232.000000,44.0227,90.8881
2026-09-04T19:57:03.768407+00:00,0,5,sketch,sketch,p50,10,1.0,34,43,70,131,21,57,0,0,65,1,0.9373,3229.066,OPTIMAL,4030.000000,7.6183,25.7972
2026-09-04T19:57:18.643938+00:00,0,5,es,es,p50,10,1.0,34,42,68,132,19,55,0,1,67,1,0.9396,13367.935,OPTIMAL,4027.000000,7.6292,25.5780
2026-09-04T19:57:54.720382+00:00,0,6,static,static,request,10,1.0,29,55,69,112,29,92,0,0,12,1,0.9896,973.189,OPTIMAL,4029.000000,38.6757,82.4865
2026-09-04T19:57:55.509610+00:00,0,6,sketch,sketch,p50,10,1.0,29,42,68,124,35,92,0,0,79,2,0.9264,696.285,OPTIMAL,4028.000000,9.1679,27.5682
2026-09-04T19:57:57.682566+00:00,0,6,es,es,p50,10,1.0,29,43,70,125,37,92,0,1,80,1,0.9285,1251.726,OPTIMAL,4029.000000,8.9969,27.5460
2026-09-04T19:58:31.677613+00:00,0,7,static,static,request,10,1.0,28,54,48,112,21,113,0,0,9,1,0.9903,1090.182,OPTIMAL,2721.000000,42.2817,90.5919
2026-09-04T19:58:33.543960+00:00,0,7,sketch,sketch,p50,10,1.0,28,42,68,128,24,116,0,2,72,2,0.9222,1756.813,OPTIMAL,4026.000000,8.7985,24.3576
2026-09-04T19:58:39.745540+00:00,0,7,es,es,p50,10,1.0,28,41,68,128,25,117,0,1,71,2,0.9251,5252.240,OPTIMAL,4027.000000,8.6416,24.3148
2026-09-04T19:59:16.380434+00:00,0,8,static,static,request,10,1.0,27,60,64,110,29,142,0,0,8,0,0.9910,1108.742,OPTIMAL,3727.000000,39.9775,78.0651
2026-09-04T19:59:16.902998+00:00,0,8,sketch,sketch,p50,10,1.0,27,41,66,123,31,147,0,0,66,0,0.9205,432.331,OPTIMAL,4026.000000,8.2514,26.3793
2026-09-04T19:59:18.285303+00:00,0,8,es,es,p50,10,1.0,27,40,69,126,31,148,0,0,66,0,0.9231,709.480,OPTIMAL,4029.000000,8.1784,26.8651
2026-09-04T19:59:55.661593+00:00,0,9,static,static,request,10,1.0,33,66,72,113,29,171,0,0,6,0,0.9919,2963.821,OPTIMAL,4032.000000,44.5179,89.9673
2026-09-04T19:59:58.848405+00:00,0,9,sketch,sketch,p50,10,1.0,33,48,72,129,26,173,0,0,62,1,0.9192,3082.946,OPTIMAL,4032.000000,7.6406,22.5734
2026-09-04T20:00:01.358801+00:00,0,9,es,es,p50,10,1.0,33,44,71,130,27,175,0,0,64,1,0.9222,1691.842,OPTIMAL,4031.000000,7.4164,22.4511
2026-09-04T20:00:37.524230+00:00,0,10,static,static,request,10,1.0,29,63,45,109,24,195,0,0,11,0,0.9921,383.348,OPTIMAL,2520.000000,42.5762,83.8659
2026-09-04T20:00:38.651802+00:00,0,10,sketch,sketch,p50,10,1.0,29,45,64,124,29,202,0,0,72,0,0.9157,963.733,OPTIMAL,4024.000000,9.7280,29.2387
2026-09-04T20:00:40.394094+00:00,0,10,es,es,p50,10,1.0,29,42,62,125,27,202,0,0,74,1,0.9186,712.904,OPTIMAL,4022.000000,9.1661,27.0426
2026-09-04T20:01:15.725753+00:00,0,11,static,static,request,10,1.0,36,79,65,110,28,223,0,0,10,0,0.9922,1353.965,OPTIMAL,3629.000000,40.1863,83.5105
2026-09-04T20:01:18.835672+00:00,0,11,sketch,sketch,p50,10,1.0,36,57,73,123,34,236,0,1,72,0,0.9124,3009.359,OPTIMAL,4032.000000,11.1234,36.0857
2026-09-04T20:01:20.454110+00:00,0,11,es,es,p50,10,1.0,36,56,72,123,34,236,0,1,73,1,0.9153,651.810,OPTIMAL,4031.000000,11.1972,36.0096
2026-09-04T20:01:56.531591+00:00,0,12,static,static,request,10,1.0,38,88,66,108,30,253,0,0,9,0,0.9920,1915.572,OPTIMAL,3828.000000,41.5273,86.1569
