timestamp_utc,run,epoch,scenario,estimator,rule,gamma,lam,arrivals,pending_before,assigned,running,completed_this_epoch,completed_total,evicted_total,moves_this_epoch,constrained_tasks,overcommitted_nodes,solver_ms,solver_status,objective,est_cpu_err_mean,est_cpu_err_p90
2026-09-04T00:34:54.093515+00:00,0,0,dynamic-g0,sketch,p50,0,0.0,66,66,66,66,0,0,0,0,0,0,137.645,OPTIMAL,66.000000,,
2026-09-04T00:34:54.213642+00:00,0,0,reassign-nocand,sketch,p50,10,1.0,66,66,66,66,0,0,0,0,0,0,119.382,OPTIMAL,66.000000,,
2026-09-04T00:35:24.773668+00:00,0,1,dynamic-g0,sketch,p50,0,0.0,61,61,48,108,6,6,0,0,2,1,30070.537,FEASIBLE,48.000000,0.6453,1.2997
2026-09-04T00:35:30.896718+00:00,0,1,reassign-nocand,sketch,p50,10,1.0,61,61,49,109,6,6,0,0,2,1,6056.272,OPTIMAL,49.000000,0.6453,1.2997
2026-09-04T00:35:34.124043+00:00,0,2,dynamic-g0,sketch,p50,0,0.0,55,68,50,119,39,45,0,0,10,4,2772.401,OPTIMAL,50.000000,0.5888,1.0969
2026-09-04T00:35:36.124221+00:00,0,2,reassign-nocand,sketch,p50,10,1.0,55,67,48,117,40,46,0,0,14,5,1931.241,OPTIMAL,48.000000,0.5813,1.0969
2026-09-04T00:36:06.665170+00:00,0,3,dynamic-g0,sketch,p50,0,0.0,64,82,58,121,56,101,0,0,22,5,30090.283,FEASIBLE,58.000000,0.7227,1.3221
2026-09-04T00:36:09.219971+00:00,0,3,reassign-nocand,sketch,p50,10,1.0,64,83,58,121,54,100,0,0,29,6,2482.249,OPTIMAL,58.000000,0.7329,1.3221
2026-09-04T00:36:39.848856+00:00,0,4,dynamic-g0,sketch,p50,0,0.0,56,80,48,115,54,155,0,0,20,8,30177.032,FEASIBLE,48.000000,0.6854,1.2221
2026-09-04T00:36:43.137541+00:00,0,4,reassign-nocand,sketch,p50,10,1.0,56,81,48,113,56,156,0,0,29,9,3211.480,OPTIMAL,48.000000,0.6950,1.2123
2026-09-04T00:36:44.577062+00:00,0,5,dynamic-g0,sketch,p50,0,0.0,69,101,47,116,46,201,0,0,13,6,978.612,OPTIMAL,47.000000,0.6756,1.1002
2026-09-04T00:37:09.945493+00:00,0,5,reassign-nocand,sketch,p50,10,1.0,69,102,47,113,47,203,0,0,9,6,25297.316,OPTIMAL,47.000000,0.7105,1.1322
2026-09-04T00:37:20.876117+00:00,0,6,dynamic-g0,sketch,p50,0,0.0,67,121,48,111,53,254,0,0,35,9,10479.210,OPTIMAL,48.000000,0.5951,1.0450
2026-09-04T00:37:51.096587+00:00,0,6,reassign-nocand,sketch,p50,10,1.0,67,122,48,110,51,254,0,0,26,9,30149.865,FEASIBLE,48.000000,0.5821,1.0214
2026-09-04T00:37:54.782475+00:00,0,7,dynamic-g0,sketch,p50,0,0.0,69,142,51,115,47,301,0,0,20,8,3231.895,OPTIMAL,51.000000,0.6377,1.2024
2026-09-04T00:37:55.291724+00:00,0,7,reassign-nocand,sketch,p50,10,1.0,69,143,49,113,46,300,0,0,11,6,443.742,OPTIMAL,49.000000,0.6304,1.2024
2026-09-04T00:38:00.728774+00:00,0,8,dynamic-g0,sketch,p50,0,0.0,52,143,49,110,54,355,0,0,17,8,4991.269,OPTIMAL,49.000000,0.5978,1.1644
2026-09-04T00:38:02.824086+00:00,0,8,reassign-nocand,sketch,p50,10,1.0,52,146,48,107,54,354,0,0,25,10,2031.720,OPTIMAL,48.000000,0.5930,1.1644
2026-09-04T00:38:05.730917+00:00,0,9,dynamic-g0,sketch,p50,0,0.0,46,140,50,107,53,408,0,0,22,7,2462.401,OPTIMAL,50.000000,0.5657,1.0738
2026-09-04T00:38:35.871057+00:00,0,9,reassign-nocand,sketch,p50,10,1.0,46,144,48,106,49,403,0,0,19,8,30078.176,FEASIBLE,48.000000,0.6179,1.2081
2026-09-04T00:39:06.383731+00:00,0,10,dynamic-g0,sketch,p50,0,0.0,57,147,46,107,46,454,0,0,28,8,30073.441,FEASIBLE,46.000000,0.6127,1.0022
2026-09-04T00:39:07.278164+00:00,0,10,reassign-nocand,sketch,p50,10,1.0,57,153,48,109,45,448,0,0,27,8,826.817,OPTIMAL,48.000000,0.5882,1.0022
2026-09-04T00:39:14.903153+00:00,0,11,dynamic-g0,sketch,p50,0,0.0,61,162,47,107,47,501,0,0,12,4,7153.085,OPTIMAL,47.000000,0.6246,1.2469
2026-09-04T00:39:45.070046+00:00,0,11,reassign-nocand,sketch,p50,10,1.0,61,166,46,104,51,499,0,0,25,8,30105.303,FEASIBLE,46.000000,0.6241,1.1978
2026-09-04T00:39:48.214871+00:00,0,12,dynamic-g0,sketch,p50,0,0.0,59,174,47,108,46,547,0,0,24,7,2691.557,OPTIMAL,47.000000,0.6700,1.2718
2026-09-04T00:39:49.673636+00:00,0,12,reassign-nocand,sketch,p50,10,1.0,59,179,48,105,47,546,0,0,19,6,1398.142,OPTIMAL,48.000000,0.6663,1.1652
2026-09-04T00:40:00.358259+00:00,0,13,dynamic-g0,sketch,p50,0,0.0,61,188,41,105,44,591,0,0,32,9,10229.231,OPTIMAL,41.000000,0.5808,1.0937
2026-09-04T00:40:02.110957+00:00,0,13,reassign-nocand,sketch,p50,10,1.0,61,192,40,107,38,584,0,0,23,7,1674.926,OPTIMAL,40.000000,0.6001,1.1147
2026-09-04T00:40:06.216126+00:00,0,14,dynamic-g0,sketch,p50,0,0.0,68,215,35,100,40,631,0,0,30,11,3609.946,OPTIMAL,35.000000,0.5618,1.1692
2026-09-04T00:40:29.012378+00:00,0,14,reassign-nocand,sketch,p50,10,1.0,68,220,38,102,43,627,0,0,26,10,22721.867,OPTIMAL,38.000000,0.5310,1.0604
