epoch,node,cpu_sketch,cpu_es,mem_avail_sketch,mem_avail_es
0,APC-0,1.346237,1.330337,13.634627,13.628319
0,APC-1,0.136227,0.138162,13.967789,13.965879
0,APC-2,0.202959,0.205910,13.820809,13.820581
0,APC-3,0.204773,0.210738,13.960030,13.961381
0,CHQ-1,1.845462,1.889529,17.719765,17.720654
0,PLT-0,0.723382,0.725893,13.659149,13.660854
0,PLT-1,0.310091,0.531921,13.698203,13.702933
0,PLT-10,1.585813,1.569917,14.107400,14.109288
0,PLT-11,0.242720,0.431871,14.172090,14.173092
0,PLT-2,0.478732,0.588174,13.776176,13.773071
0,PLT-3,1.543281,1.435729,14.130222,14.129778
0,PLT-4,1.682109,1.615486,14.113652,14.112912
0,PLT-5,0.168753,0.169988,14.101092,14.102657
0,PLT-6,0.068751,0.068735,14.134199,14.131975
0,PLT-7,0.169188,0.171483,14.119459,14.114843
0,PLT-8,0.064183,0.064587,14.154876,14.154975
0,PLT-9,0.305487,0.489346,14.110069,14.112732
0,UGS-0,0.070400,0.070745,1.734723,1.735359
0,UGS-1,0.154030,0.153754,1.623892,1.624027
0,UGS-10,0.057078,0.057008,1.547899,1.547635
0,UGS-11,0.144295,0.143497,1.568584,1.569045
0,UGS-12,0.061079,0.061271,1.550150,1.550416
0,UGS-13,0.131811,0.132636,1.617182,1.617608
0,UGS-14,0.051609,0.051830,1.571527,1.571065
0,UGS-15,0.057731,0.057524,1.635565,1.635941
0,UGS-16,0.137613,0.138495,1.561015,1.561028
0,UGS-2,0.133804,0.136405,1.566859,1.566593
0,UGS-20,0.057972,0.058064,1.617520,1.617122
0,UGS-21,0.139522,0.140463,1.518974,1.519081
0,UGS-22,0.146385,0.146672,1.501170,1.501109
0,UGS-23,0.145459,0.145644,1.562612,1.562567
0,UGS-24,0.138407,0.139295,1.627264,1.627280
0,UGS-25,0.055120,0.055282,1.628639,1.628514
0,UGS-26,0.136520,0.136261,1.532079,1.532142
0,UGS-27,0.058083,0.058032,1.612295,1.612330
0,UGS-28,0.148972,0.148666,1.576824,1.576983
0,UGS-29,0.059112,0.058809,1.630664,1.630522
0,UGS-3,0.065315,0.065058,1.610599,1.610509
0,UGS-4,0.056431,0.056444,1.688096,1.688378
0,UGS-5,0.128408,0.128584,1.574570,1.574215
0,UGS-6,0.055400,0.055418,1.604352,1.604305
0,UGS-7,0.060737,0.061924,1.547739,1.547636
0,UGS-8,0.141840,0.141794,1.572549,1.572653
0,UGS-9,0.160432,0.159035,1.612817,1.612796
1,APC-0,1.338785,1.330969,13.629276,13.627415
1,APC-1,0.135263,0.137399,13.966740,13.962709
1,APC-2,0.204443,0.205783,13.825706,13.824271
1,APC-3,0.204137,0.207593,13.962801,13.961653
1,CHQ-1,1.862759,1.869450,17.724737,17.717801
1,PLT-0,0.706817,0.713905,13.656721,13.662576
1,PLT-1,0.313934,0.514030,13.693784,13.697569
1,PLT-10,1.590063,1.574305,14.108614,14.109732
1,PLT-11,0.238767,0.424593,14.168779,14.167430
1,PLT-2,0.471112,0.571579,13.776406,13.772931
1,PLT-3,1.521426,1.471522,14.128422,14.130298
1,PLT-4,1.680103,1.671384,14.113667,14.116527
1,PLT-5,0.168721,0.168927,14.102239,14.102371
1,PLT-6,0.068545,0.068671,14.125618,14.128734
1,PLT-7,0.169182,0.171889,14.121954,14.120179
1,PLT-8,0.064199,0.064640,14.145522,14.148655
1,PLT-9,0.279478,0.386680,14.110334,14.107915
1,UGS-0,0.070490,0.070619,1.735690,1.735714
1,UGS-1,0.154448,0.154020,1.624399,1.623919
1,UGS-10,0.056894,0.056903,1.547205,1.547482
1,UGS-11,0.143561,0.143684,1.569180,1.569073
1,UGS-12,0.061405,0.061351,1.550828,1.550399
1,UGS-13,0.132426,0.132120,1.617103,1.617208
1,UGS-14,0.051393,0.051751,1.570064,1.570652
1,UGS-15,0.057805,0.057491,1.637202,1.636491
1,UGS-16,0.137533,0.138070,1.561656,1.561260
1,UGS-2,0.134976,0.135964,1.566091,1.566173
1,UGS-20,0.057832,0.058075,1.617621,1.617241
1,UGS-21,0.139875,0.140492,1.518543,1.518960
1,UGS-22,0.145659,0.146010,1.501163,1.500856
