timestamp_utc,rows,repeat,server_ingest_ms,server_query_ms
2026-05-26T22:24:52.031317+00:00,1000,1,11.9791,6.2378
2026-05-26T22:24:52.031393+00:00,1000,2,11.0028,3.2540
2026-05-26T22:24:52.031409+00:00,1000,3,10.4931,3.4904
2026-05-26T22:24:52.031421+00:00,2000,1,21.3624,3.6376
2026-05-26T22:24:52.031433+00:00,2000,2,22.3107,3.4216
2026-05-26T22:24:52.031448+00:00,2000,3,20.7214,3.5425
2026-05-26T22:24:52.031459+00:00,4000,1,42.7351,3.6460
2026-05-26T22:24:52.031470+00:00,4000,2,43.1075,3.5828
2026-05-26T22:24:52.031481+00:00,4000,3,42.1506,3.5717
2026-05-26T22:24:52.031492+00:00,8000,1,85.9913,3.5232
2026-05-26T22:24:52.031503+00:00,8000,2,85.8683,3.5524
2026-05-26T22:24:52.031513+00:00,8000,3,84.9813,3.6683
2026-05-26T22:24:52.031524+00:00,16000,1,167.5008,3.1952
2026-05-26T22:24:52.031536+00:00,16000,2,138.4539,3.0814
2026-05-26T22:24:52.031548+00:00,16000,3,163.2849,3.5275
2026-05-26T22:24:52.031559+00:00,32000,1,336.7596,3.6751
2026-05-26T22:24:52.031571+00:00,32000,2,342.6817,3.8163
2026-05-26T22:24:52.031582+00:00,32000,3,325.0926,3.1175
2026-05-26T22:24:52.031593+00:00,64000,1,539.3501,2.7543
2026-05-26T22:24:52.031608+00:00,64000,2,474.3860,2.6846
2026-05-26T22:24:52.031619+00:00,64000,3,491.0260,2.8095
2026-05-26T22:24:52.031630+00:00,128000,1,843.2717,2.8651
2026-05-26T22:24:52.031642+00:00,128000,2,1278.3306,3.0437
2026-05-26T22:24:52.031653+00:00,128000,3,970.3092,3.7490
2026-05-26T22:24:52.031665+00:00,256000,1,2080.8518,3.6902
2026-05-26T22:24:52.031679+00:00,256000,2,2548.6557,2.8993
2026-05-26T22:24:52.031691+00:00,256000,3,1762.7524,2.6147
2026-05-26T22:24:52.031702+00:00,512000,1,3847.3652,4.5218
2026-05-26T22:24:52.031712+00:00,512000,2,4594.8819,2.8364
2026-05-26T22:24:52.031730+00:00,512000,3,4134.1283,3.9654
2026-05-26T22:24:52.031741+00:00,1024000,1,9951.0965,6.1447
2026-05-26T22:24:52.031755+00:00,1024000,2,9849.9615,5.8080
2026-05-26T22:24:52.031767+00:00,1024000,3,9077.0529,5.8101
