rows,median_ingest_ms,median_query_ms,min_ingest_ms,max_ingest_ms,min_query_ms,max_query_ms
1000,7.0498,3.2395,5.4053,8.9836,2.3615,3.7457
2000,5.7900,1.4843,5.1617,10.9982,1.2893,2.2105
4000,23.1137,1.8620,14.0155,23.2170,1.7183,2.0309
8000,38.5343,1.7040,32.9193,40.0531,1.6315,1.7900
16000,55.2170,1.3590,53.3006,62.6348,1.3439,1.3724
32000,86.5322,1.3843,79.5288,94.7124,1.1780,1.3889
64000,161.4854,1.2897,155.1950,164.7796,1.2405,1.3488
128000,312.5670,1.3848,299.6218,318.2059,1.3765,1.8766
256000,621.4195,1.2400,595.9784,650.0358,1.1987,1.4171
512000,1217.6381,1.5031,1165.9466,1230.0034,1.4368,1.5186
1024000,2365.1409,1.3442,2301.4485,2388.5058,1.3195,1.4410
