timestamp_utc,epoch,server_query_ms,server_solver_ms,server_total_ms,es_query_ms,es_solver_ms,es_total_ms,solver_task_count,solver_node_count,query_node_count,all_nodes_count,all_tasks_count
2026-02-12T22:28:51.057264+00:00,1,6.6724,104.2221,110.8945,144.3587,131.1085,275.4672,62,5,5,30,62
2026-02-12T22:31:04.059198+00:00,2,8.0160,164.2457,172.2617,164.6896,91.4774,256.1669,62,5,5,30,62
2026-02-12T22:33:17.936458+00:00,3,6.3389,138.4757,144.8146,167.0107,96.4559,263.4666,62,5,5,30,62
2026-02-12T22:35:31.234005+00:00,4,8.1542,138.3707,146.5249,247.7883,129.2316,377.0199,62,5,5,30,62
2026-02-12T22:37:50.391383+00:00,5,7.2993,169.4547,176.7540,243.2794,98.2193,341.4987,62,5,5,30,62
2026-02-12T22:40:05.356267+00:00,6,7.2546,135.5691,142.8237,167.8803,97.8433,265.7236,62,5,5,30,62
2026-02-12T22:42:19.279534+00:00,7,6.6694,166.6079,173.2773,162.7380,97.8011,260.5391,62,5,5,30,62
2026-02-12T22:44:33.544490+00:00,8,7.1140,140.4019,147.5159,166.1753,102.5824,268.7577,62,5,5,30,62
2026-02-12T22:46:54.477419+00:00,9,6.6931,170.1418,176.8349,306.7504,97.5929,404.3433,62,5,5,30,62
2026-02-12T22:49:08.871388+00:00,10,8.1223,142.3339,150.4562,184.4389,98.6660,283.1049,62,5,5,30,62
