timestamp_utc,run,epoch,scenario,estimator,rule,gamma,lam,arrivals,pending_before,assigned,running,completed_this_epoch,completed_total,evicted_total,moves_this_epoch,constrained_tasks,overcommitted_nodes,solver_ms,solver_status,objective,est_cpu_err_mean,est_cpu_err_p90
2026-09-03T20:55:06.054748+00:00,0,0,static,static,request,0,0.0,66,66,66,66,0,0,0,0,0,0,110.920,OPTIMAL,66.000000,,
2026-09-03T20:55:06.144610+00:00,0,0,dynamic,sketch,p50,0,0.0,66,66,66,66,0,0,0,0,0,0,89.316,OPTIMAL,66.000000,,
2026-09-03T20:55:06.248496+00:00,0,0,reassign,static,request,10,1.0,66,66,66,66,0,0,0,0,0,0,103.359,OPTIMAL,66.000000,,
2026-09-03T20:55:06.368699+00:00,0,0,dynamic+reassign,sketch,p50,10,1.0,66,66,66,66,0,0,0,0,0,0,119.465,OPTIMAL,66.000000,,
2026-09-03T20:55:06.483458+00:00,0,0,es,es,p50,10,1.0,66,66,66,66,0,0,0,0,0,0,114.002,OPTIMAL,66.000000,,
2026-09-03T20:55:06.597738+00:00,0,0,p90,sketch,p90,10,1.0,66,66,66,66,0,0,0,0,0,0,113.629,OPTIMAL,66.000000,,
2026-09-03T20:55:06.713617+00:00,0,0,avg,sketch,avg,10,1.0,66,66,66,66,0,0,0,0,0,0,115.253,OPTIMAL,66.000000,,
2026-09-03T20:55:06.827989+00:00,0,0,p50-1.2xalloc,sketch,p50bump,10,1.0,66,66,66,66,0,0,0,0,0,0,113.750,OPTIMAL,66.000000,,
2026-09-03T20:55:06.941886+00:00,0,0,window-avg,sketch,window,10,1.0,66,66,66,66,0,0,0,0,0,0,113.283,OPTIMAL,66.000000,,
2026-09-03T20:55:11.535827+00:00,0,1,static,static,request,0,0.0,61,61,41,101,6,6,0,0,2,1,267.508,OPTIMAL,41.000000,44.9852,92.6423
2026-09-03T20:55:41.692780+00:00,0,1,dynamic,sketch,p50,0,0.0,61,61,48,108,6,6,0,0,2,1,30098.298,FEASIBLE,48.000000,0.6453,1.2997
2026-09-03T20:55:46.000895+00:00,0,1,reassign,static,request,10,1.0,61,61,75,101,6,6,0,0,2,1,4299.137,OPTIMAL,3441.000000,44.9852,92.6423
2026-09-03T20:56:00.934673+00:00,0,1,dynamic+reassign,sketch,p50,10,1.0,61,61,88,108,6,6,0,1,2,1,14868.187,OPTIMAL,4047.000000,0.6453,1.2997
2026-09-03T20:56:31.846492+00:00,0,1,es,es,p50,10,1.0,61,61,87,107,6,6,0,1,2,1,30209.219,FEASIBLE,4046.000000,0.5983,1.2414
2026-09-03T20:56:46.433499+00:00,0,1,p90,sketch,p90,10,1.0,61,61,85,105,6,6,0,3,2,1,14521.977,OPTIMAL,4042.000000,12.8895,14.3014
2026-09-03T20:57:14.029901+00:00,0,1,avg,sketch,avg,10,1.0,61,61,88,108,6,6,0,1,2,1,27536.342,OPTIMAL,4047.000000,0.0000,0.0000
2026-09-03T20:57:30.714127+00:00,0,1,p50-1.2xalloc,sketch,p50bump,10,1.0,61,61,88,108,6,6,0,2,2,1,16621.786,OPTIMAL,4046.000000,5.3249,26.1810
2026-09-03T20:57:58.287915+00:00,0,1,window-avg,sketch,window,10,1.0,61,61,88,108,6,6,0,1,2,1,27512.935,OPTIMAL,4047.000000,0.0000,0.0000
2026-09-03T20:58:07.539451+00:00,0,2,static,static,request,0,0.0,55,75,49,111,39,45,0,0,6,3,5019.851,OPTIMAL,49.000000,47.8742,89.8573
2026-09-03T20:58:10.711584+00:00,0,2,dynamic,sketch,p50,0,0.0,55,68,49,118,39,45,0,0,8,3,3100.891,OPTIMAL,49.000000,0.5879,1.0969
2026-09-03T20:58:40.826156+00:00,0,2,reassign,static,request,10,1.0,55,75,88,110,39,45,0,0,6,3,30101.966,FEASIBLE,4048.000000,48.4964,89.8573
2026-09-03T20:59:11.055356+00:00,0,2,dynamic+reassign,sketch,p50,10,1.0,55,68,88,117,39,45,0,2,14,5,30152.321,FEASIBLE,4046.000000,0.6064,1.1164
2026-09-03T20:59:41.969617+00:00,0,2,es,es,p50,10,1.0,55,69,88,116,39,45,0,2,11,4,30248.055,FEASIBLE,4046.000000,0.5476,1.0558
2026-09-03T21:00:12.144246+00:00,0,2,p90,sketch,p90,10,1.0,55,71,88,113,40,46,0,5,8,4,30102.124,FEASIBLE,4043.000000,13.0555,14.0601
2026-09-03T21:00:42.335521+00:00,0,2,avg,sketch,avg,10,1.0,55,68,88,116,40,46,0,2,18,6,30117.297,FEASIBLE,4046.000000,0.0000,0.0000
2026-09-03T21:00:58.432959+00:00,0,2,p50-1.2xalloc,sketch,p50bump,10,1.0,55,68,88,116,40,46,0,3,12,4,16021.442,OPTIMAL,4045.000000,4.7008,22.4558
2026-09-03T21:01:09.214552+00:00,0,2,window-avg,sketch,window,10,1.0,55,68,89,117,40,46,0,2,18,6,10705.536,OPTIMAL,4047.000000,3.5708,9.9521
2026-09-03T21:01:43.014105+00:00,0,3,static,static,request,0,0.0,64,90,54,112,53,98,0,0,1,1,30090.106,FEASIBLE,54.000000,35.0515,69.8516
2026-09-03T21:01:45.321208+00:00,0,3,dynamic,sketch,p50,0,0.0,64,83,60,122,56,101,0,0,17,3,2237.125,OPTIMAL,60.000000,0.7374,1.3221
2026-09-03T21:02:15.452817+00:00,0,3,reassign,static,request,10,1.0,64,91,94,112,52,97,0,0,0,0,30118.234,FEASIBLE,4054.000000,33.9266,69.8516
2026-09-03T21:02:43.018262+00:00,0,3,dynamic+reassign,sketch,p50,10,1.0,64,84,100,120,57,102,0,2,30,6,27494.623,OPTIMAL,4058.000000,0.7476,1.4536
2026-09-03T21:03:13.894388+00:00,0,3,es,es,p50,10,1.0,64,85,98,120,54,99,0,1,29,6,30115.921,FEASIBLE,4057.000000,0.6840,1.3108
2026-09-03T21:03:20.437112+00:00,0,3,p90,sketch,p90,10,1.0,64,87,95,116,52,98,0,2,2,2,6474.951,OPTIMAL,4053.000000,13.1268,14.5333
2026-09-03T21:03:50.606408+00:00,0,3,avg,sketch,avg,10,1.0,64,84,98,119,55,101,0,0,14,4,30105.696,FEASIBLE,4058.000000,0.0000,0.0000
2026-09-03T21:04:20.792867+00:00,0,3,p50-1.2xalloc,sketch,p50bump,10,1.0,64,84,98,120,54,100,0,4,20,5,30115.013,FEASIBLE,4054.000000,3.5098,8.8878
2026-09-03T21:04:31.449275+00:00,0,3,window-avg,sketch,window,10,1.0,64,83,98,121,54,100,0,1,28,7,10588.845,OPTIMAL,4057.000000,4.2826,13.9694
2026-09-03T21:04:42.274360+00:00,0,4,static,static,request,0,0.0,56,92,46,108,50,148,0,0,13,7,7157.499,OPTIMAL,46.000000,41.8444,84.1433
2026-09-03T21:05:12.436650+00:00,0,4,dynamic,sketch,p50,0,0.0,56,79,47,117,52,153,0,0,24,10,30091.826,FEASIBLE,47.000000,0.6932,1.2233
2026-09-03T21:05:42.578562+00:00,0,4,reassign,static,request,10,1.0,56,93,86,107,51,148,0,0,13,7,30129.507,FEASIBLE,4046.000000,43.0992,92.3124
2026-09-03T21:06:12.768925+00:00,0,4,dynamic+reassign,sketch,p50,10,1.0,56,80,84,116,48,150,0,5,29,12,30111.679,FEASIBLE,4039.000000,0.6760,1.2221
2026-09-03T21:06:43.989632+00:00,0,4,es,es,p50,10,1.0,56,83,86,112,54,153,0,4,23,10,30132.505,FEASIBLE,4042.000000,0.6280,1.1917
2026-09-03T21:06:49.000585+00:00,0,4,p90,sketch,p90,10,1.0,56,88,85,107,54,152,0,5,22,9,4941.099,OPTIMAL,4040.000000,12.8459,14.2406
2026-09-03T21:07:06.632810+00:00,0,4,avg,sketch,avg,10,1.0,56,82,88,114,53,154,0,4,22,10,17563.962,OPTIMAL,4044.000000,0.0000,0.0000
2026-09-03T21:07:36.819685+00:00,0,4,p50-1.2xalloc,sketch,p50bump,10,1.0,56,82,85,110,55,155,0,7,37,12,30113.737,FEASIBLE,4038.000000,7.0019,23.6560
2026-09-03T21:08:07.028726+00:00,0,4,window-avg,sketch,window,10,1.0,56,81,86,113,54,154,0,4,33,13,30134.998,FEASIBLE,4042.000000,3.4459,13.9388
2026-09-03T21:08:12.495993+00:00,0,5,static,static,request,0,0.0,69,115,39,101,46,194,0,0,3,3,1064.554,OPTIMAL,39.000000,40.5069,85.9804
2026-09-03T21:08:42.658002+00:00,0,5,dynamic,sketch,p50,0,0.0,69,101,46,115,48,201,0,0,8,4,30080.290,FEASIBLE,46.000000,0.7009,1.1581
2026-09-03T21:09:01.318265+00:00,0,5,reassign,static,request,10,1.0,69,116,80,102,45,193,0,0,4,4,18647.994,OPTIMAL,4040.000000,40.3303,85.9804
2026-09-03T21:09:19.866124+00:00,0,5,dynamic+reassign,sketch,p50,10,1.0,69,105,87,112,51,201,0,2,9,5,18480.795,OPTIMAL,4045.000000,0.6604,1.0762
2026-09-03T21:09:30.244533+00:00,0,5,es,es,p50,10,1.0,69,106,84,110,46,199,0,1,3,3,9320.360,OPTIMAL,4043.000000,0.6665,1.0538
2026-09-03T21:09:43.070867+00:00,0,5,p90,sketch,p90,10,1.0,69,112,81,102,46,198,0,3,3,3,12762.025,OPTIMAL,4038.000000,13.0179,14.4820
2026-09-03T21:10:13.245894+00:00,0,5,avg,sketch,avg,10,1.0,69,103,85,112,47,201,0,1,10,5,30105.030,FEASIBLE,4044.000000,0.0000,0.0000
2026-09-03T21:10:22.970447+00:00,0,5,p50-1.2xalloc,sketch,p50bump,10,1.0,69,106,83,108,45,200,0,3,10,4,9654.806,OPTIMAL,4040.000000,6.5726,25.7442
