timestamp_utc,epoch,server_rtt_ms,es_rtt_ms
2026-02-05T17:14:17.264684+00:00,1,12.0079,723.6512
2026-02-05T17:15:53.979976+00:00,2,11.8346,1033.2443
2026-02-05T17:17:31.442606+00:00,3,10.5451,963.2434
2026-02-05T17:19:09.228936+00:00,4,13.1123,1029.6037
2026-02-05T17:20:46.486735+00:00,5,11.7772,1113.5389
2026-02-05T17:22:24.492100+00:00,6,13.5330,805.1154
2026-02-05T17:24:03.828594+00:00,7,9.1973,1442.2112
2026-02-05T17:25:40.343808+00:00,8,10.7493,1037.8647
2026-02-05T17:27:17.724984+00:00,9,13.2225,1341.7894
2026-02-05T17:28:52.883954+00:00,10,10.6045,1167.8875
