timestamp_utc,epoch,server_query_ms,server_solver_ms,server_total_ms,es_query_ms,es_solver_ms,es_total_ms,solver_task_count,solver_node_count,query_node_count,all_nodes_count,all_tasks_count
2026-02-13T00:28:44.983746+00:00,1,13.2204,41933.4136,41946.6340,992.2474,41769.8648,42762.1123,62,0,0,30,62
2026-02-13T00:32:21.111642+00:00,2,10.6897,41771.1076,41781.7973,982.8778,41777.5378,42760.4156,62,0,0,30,62
2026-02-13T00:35:57.435753+00:00,3,14.5964,41824.9128,41839.5092,935.2373,41805.4104,42740.6477,62,0,0,30,62
2026-02-13T00:39:41.446796+00:00,4,11.4218,42079.0487,42090.4705,1068.5131,42069.4287,43137.9418,62,0,0,30,62
2026-02-13T00:43:18.956016+00:00,5,13.4929,41917.6598,41931.1527,1448.2773,41998.8120,43447.0893,62,0,0,30,62
2026-02-13T00:46:55.196805+00:00,6,12.1542,41730.8412,41742.9954,915.9661,41628.6644,42544.6306,62,0,0,30,62
2026-02-13T00:50:35.520988+00:00,7,12.8167,41867.5349,41880.3516,1577.7527,41821.0597,43398.8125,62,0,0,30,62
2026-02-13T00:54:17.505883+00:00,8,11.9520,41887.5787,41899.5308,1087.0841,41916.8361,43003.9202,62,0,0,30,62
2026-02-13T00:57:54.534083+00:00,9,10.5654,41882.5962,41893.1615,1548.6476,41895.3445,43443.9922,62,0,0,30,62
2026-02-13T01:01:31.488813+00:00,10,11.5074,42020.4388,42031.9462,1520.6701,41466.1446,42986.8146,62,0,0,30,62
