request_id,request_type,status,total_ms,estimate_ms,json_ms
d0977792,node_metrics,200 OK,203.126,97.692,1.672
e97db896,node_metrics,200 OK,257.517,125.668,2.444
1e1dfc82,node_metrics,200 OK,261.171,126.074,2.358
fb2e78cc,node_metrics,200 OK,260.513,126.302,2.331
64aa2cec,node_metrics,200 OK,260.847,126.428,2.323
79cb9270,node_metrics,200 OK,259.100,125.595,2.371
08a7006e,node_metrics,200 OK,231.053,111.801,1.815
d3bfef48,node_metrics,200 OK,259.532,125.634,2.367
ebe2359e,node_metrics,200 OK,262.513,126.349,4.002
df544e64,node_metrics,200 OK,259.681,126.308,2.313
7dd8fde3,node_metrics,200 OK,260.517,126.368,2.316
57c05589,node_metrics,200 OK,251.858,121.778,2.322
345e6fda,node_metrics,200 OK,259.673,125.685,2.390
e80ac3e9,node_metrics,200 OK,263.269,127.165,2.518
066d0a7d,node_metrics,200 OK,209.687,101.826,1.544
1cafb46c,node_metrics,200 OK,260.230,126.120,2.295
ad096df3,node_metrics,200 OK,261.193,126.688,2.335
c7e9b573,node_metrics,200 OK,260.024,126.053,2.325
0f90ef16,node_metrics,200 OK,200.021,96.824,1.553
dd8bf79b,node_metrics,200 OK,260.585,126.328,2.319
996e8f9f,node_metrics,200 OK,262.078,126.961,2.330
1a4f76d8,node_metrics,200 OK,252.089,122.040,2.341
f958e200,node_metrics,200 OK,263.054,127.273,2.436
ba4cf3b0,node_metrics,200 OK,260.789,126.371,2.314
08625da8,node_metrics,200 OK,260.680,126.202,2.448
c2647eb2,node_metrics,200 OK,250.012,121.112,2.310
2f05816b,node_metrics,200 OK,258.069,125.757,2.346
a6f9a7cf,node_metrics,200 OK,192.162,91.262,2.257
7eabe367,node_metrics,200 OK,209.674,102.047,1.569
2b7f3a3d,node_metrics,200 OK,251.367,121.678,2.368
03328e30,node_metrics,200 OK,260.196,126.231,2.304
ba9b6e49,node_metrics,200 OK,250.223,121.186,2.342
f051bce1,node_metrics,200 OK,258.648,125.435,2.319
9c8e231f,node_metrics,200 OK,259.118,125.737,2.714
48229dca,node_metrics,200 OK,260.781,126.348,2.371
d83241bd,node_metrics,200 OK,262.210,126.697,2.412
ce3014e6,node_metrics,200 OK,261.368,126.385,2.380
74497b2b,node_metrics,200 OK,268.373,130.029,2.783
945cfbc1,node_metrics,200 OK,259.578,125.137,2.472
