timestamp,node_id,cpu_capacity,memory_capacity
2025-10-13T22:34:42,N005,22.720,31.571
2025-10-13T22:34:57,N005,23.382,33.898
2025-10-13T22:35:12,N005,26.727,36.124
2025-10-13T22:35:27,N005,24.926,39.030
2025-10-13T22:35:42,N005,30.763,48.791
2025-10-13T22:35:57,N005,33.906,57.017
2025-10-13T22:36:12,N005,29.569,57.870
2025-10-13T22:36:27,N005,29.804,57.587
2025-10-13T22:36:42,N005,25.454,57.770
2025-10-13T22:36:57,N005,22.823,54.095
2025-10-13T22:37:12,N005,20.149,59.001
2025-10-13T22:37:27,N005,22.422,44.939
2025-10-13T22:37:42,N005,21.535,36.240
2025-10-13T22:37:57,N005,19.923,30.885
2025-10-13T22:38:12,N005,16.378,25.394
2025-10-13T22:38:27,N005,13.500,24.508
2025-10-13T22:38:42,N005,12.650,21.215
2025-10-13T22:38:57,N005,13.983,20.800
2025-10-13T22:39:12,N005,13.648,21.690
2025-10-13T22:39:27,N005,15.721,17.658
2025-10-13T22:35:17,N006,26.683,54.165
2025-10-13T22:35:32,N006,31.612,60.563
2025-10-13T22:35:47,N006,30.842,60.754
2025-10-13T22:36:02,N006,27.864,75.638
2025-10-13T22:36:17,N006,33.015,62.406
2025-10-13T22:36:32,N006,28.693,61.367
2025-10-13T22:36:47,N006,31.392,73.517
2025-10-13T22:37:02,N006,26.891,65.404
2025-10-13T22:37:17,N006,24.987,61.631
2025-10-13T22:37:32,N006,23.467,57.799
2025-10-13T22:37:47,N006,24.976,56.033
2025-10-13T22:38:02,N006,28.640,54.126
2025-10-13T22:38:17,N006,31.760,50.280
2025-10-13T22:38:32,N006,37.347,38.338
2025-10-13T22:38:47,N006,41.590,26.632
2025-10-13T22:39:02,N006,47.271,30.107
2025-10-13T22:39:17,N006,55.464,33.671
2025-10-13T22:39:32,N006,78.540,33.675
2025-10-13T22:39:47,N006,91.847,33.449
2025-10-13T22:40:02,N006,83.205,28.368
2025-10-13T22:35:41,N009,14.123,84.525
2025-10-13T22:35:56,N009,12.872,97.519
2025-10-13T22:36:11,N009,11.168,97.352
2025-10-13T22:36:26,N009,10.744,97.816
2025-10-13T22:36:41,N009,10.162,102.818
2025-10-13T22:36:56,N009,9.130,99.786
2025-10-13T22:37:11,N009,7.947,87.671
2025-10-13T22:37:26,N009,7.027,87.425
2025-10-13T22:37:41,N009,8.679,90.641
2025-10-13T22:37:56,N009,11.408,87.654
2025-10-13T22:38:11,N009,13.982,94.056
2025-10-13T22:38:26,N009,15.612,92.102
2025-10-13T22:38:41,N009,15.547,104.380
2025-10-13T22:38:56,N009,19.088,86.535
2025-10-13T22:39:11,N009,20.928,86.875
2025-10-13T22:39:26,N009,19.119,89.252
2025-10-13T22:39:41,N009,21.451,93.841
2025-10-13T22:39:56,N009,21.005,89.622
2025-10-13T22:40:11,N009,15.280,107.280
2025-10-13T22:40:26,N009,14.199,108.668
2025-10-13T22:35:44,N008,21.770,82.653
2025-10-13T22:35:59,N008,22.363,76.182
2025-10-13T22:36:14,N008,23.057,65.493
2025-10-13T22:36:29,N008,25.261,64.222
2025-10-13T22:36:44,N008,30.711,65.425
2025-10-13T22:36:59,N008,35.134,66.619
2025-10-13T22:37:14,N008,37.809,65.592
2025-10-13T22:37:29,N008,48.258,50.223
2025-10-13T22:37:44,N008,44.702,50.066
2025-10-13T22:37:59,N008,46.799,56.971
2025-10-13T22:38:14,N008,48.199,65.216
2025-10-13T22:38:29,N008,47.353,80.820
2025-10-13T22:38:44,N008,45.220,86.521
2025-10-13T22:38:59,N008,34.609,82.029
2025-10-13T22:39:14,N008,25.892,81.136
2025-10-13T22:39:29,N008,20.353,74.563
2025-10-13T22:39:44,N008,18.326,92.794
2025-10-13T22:39:59,N008,18.713,106.358
2025-10-13T22:40:14,N008,15.574,117.262
2025-10-13T22:40:29,N008,17.465,112.591
2025-10-13T22:37:41,N001,19.560,72.643
2025-10-13T22:37:56,N001,17.751,86.558
2025-10-13T22:38:11,N001,16.610,70.043
2025-10-13T22:38:26,N001,12.667,84.260
2025-10-13T22:38:41,N001,10.465,97.988
2025-10-13T22:38:56,N001,9.501,113.579
2025-10-13T22:39:11,N001,9.636,104.993
2025-10-13T22:39:26,N001,9.408,98.115
2025-10-13T22:39:41,N001,9.822,102.856
2025-10-13T22:39:56,N001,10.060,86.094
2025-10-13T22:40:11,N001,12.271,80.938
2025-10-13T22:40:26,N001,15.910,77.015
2025-10-13T22:40:41,N001,15.798,80.511
2025-10-13T22:40:56,N001,15.646,83.887
2025-10-13T22:41:11,N001,14.945,84.221
2025-10-13T22:41:26,N001,17.149,83.897
2025-10-13T22:41:41,N001,19.052,68.352
2025-10-13T22:41:56,N001,23.133,66.588
2025-10-13T22:42:11,N001,26.477,71.437
2025-10-13T22:42:26,N001,21.224,65.278
2025-10-13T22:38:47,N003,25.109,36.378
2025-10-13T22:39:02,N003,23.623,37.919
2025-10-13T22:39:17,N003,29.108,41.794
2025-10-13T22:39:32,N003,30.179,42.827
2025-10-13T22:39:47,N003,25.548,45.746
2025-10-13T22:40:02,N003,31.761,49.255
2025-10-13T22:40:17,N003,32.259,45.676
2025-10-13T22:40:32,N003,22.486,41.292
2025-10-13T22:40:47,N003,19.072,40.421
2025-10-13T22:41:02,N003,17.572,47.051
2025-10-13T22:41:17,N003,13.395,46.658
2025-10-13T22:41:32,N003,10.356,49.065
2025-10-13T22:41:47,N003,8.574,39.271
2025-10-13T22:42:02,N003,6.625,35.751
2025-10-13T22:42:17,N003,4.910,40.409
2025-10-13T22:42:32,N003,5.161,41.869
2025-10-13T22:42:47,N003,5.016,45.399
2025-10-13T22:43:02,N003,3.944,39.711
2025-10-13T22:43:17,N003,3.915,37.547
2025-10-13T22:43:32,N003,3.899,40.738
2025-10-13T22:39:52,N006,7.521,50.938
2025-10-13T22:40:07,N006,9.231,64.487
2025-10-13T22:40:22,N006,8.724,67.132
2025-10-13T22:40:37,N006,8.749,73.054
2025-10-13T22:40:52,N006,9.886,72.337
2025-10-13T22:41:07,N006,12.293,67.034
2025-10-13T22:41:22,N006,11.378,56.818
2025-10-13T22:41:37,N006,11.690,49.560
2025-10-13T22:41:52,N006,12.744,47.421
2025-10-13T22:42:07,N006,12.418,42.121
2025-10-13T22:42:22,N006,15.253,34.449
2025-10-13T22:42:37,N006,17.706,33.623
2025-10-13T22:42:52,N006,17.674,34.281
2025-10-13T22:43:07,N006,11.751,32.862
2025-10-13T22:43:22,N006,9.762,31.013
2025-10-13T22:43:37,N006,9.512,30.094
2025-10-13T22:43:52,N006,8.605,32.641
2025-10-13T22:44:07,N006,9.647,35.600
2025-10-13T22:44:22,N006,9.038,40.166
2025-10-13T22:44:37,N006,8.666,42.416
2025-10-13T22:40:29,N004,22.212,49.805
2025-10-13T22:40:44,N004,22.636,60.350
2025-10-13T22:40:59,N004,23.541,61.976
2025-10-13T22:41:14,N004,15.223,71.100
2025-10-13T22:41:29,N004,14.304,61.847
2025-10-13T22:41:44,N004,14.806,52.362
2025-10-13T22:41:59,N004,16.646,50.294
2025-10-13T22:42:14,N004,16.315,43.960
2025-10-13T22:42:29,N004,17.641,38.085
2025-10-13T22:42:44,N004,17.589,35.812
2025-10-13T22:42:59,N004,17.470,31.331
2025-10-13T22:43:14,N004,19.061,28.994
2025-10-13T22:43:29,N004,17.366,29.362
2025-10-13T22:43:44,N004,16.751,29.965
2025-10-13T22:43:59,N004,18.256,32.407
2025-10-13T22:44:14,N004,18.290,36.116
2025-10-13T22:44:29,N004,17.435,36.670
2025-10-13T22:44:44,N004,15.820,36.746
2025-10-13T22:44:59,N004,14.398,39.165
2025-10-13T22:45:14,N004,15.357,42.208
2025-10-13T22:40:31,N006,38.116,59.657
2025-10-13T22:40:46,N006,36.205,52.222
2025-10-13T22:41:01,N006,32.699,56.066
2025-10-13T22:41:16,N006,24.977,60.331
2025-10-13T22:41:31,N006,25.382,57.805
2025-10-13T22:41:46,N006,21.461,64.416
2025-10-13T22:42:01,N006,15.410,62.504
2025-10-13T22:42:16,N006,12.797,64.461
2025-10-13T22:42:31,N006,13.998,69.981
2025-10-13T22:42:46,N006,14.468,74.849
2025-10-13T22:43:01,N006,16.517,75.014
2025-10-13T22:43:16,N006,19.420,67.769
2025-10-13T22:43:31,N006,19.666,66.677
2025-10-13T22:43:46,N006,25.179,59.248
2025-10-13T22:44:01,N006,27.710,54.975
2025-10-13T22:44:16,N006,34.876,48.629
2025-10-13T22:44:31,N006,36.680,50.247
2025-10-13T22:44:46,N006,37.865,53.591
2025-10-13T22:45:01,N006,36.771,49.675
2025-10-13T22:45:16,N006,37.639,47.770
2025-10-13T22:41:38,N010,20.244,56.490
2025-10-13T22:41:53,N010,15.567,70.262
2025-10-13T22:42:08,N010,14.567,74.396
2025-10-13T22:42:23,N010,12.462,71.803
2025-10-13T22:42:38,N010,11.183,85.428
2025-10-13T22:42:53,N010,12.040,71.730
2025-10-13T22:43:08,N010,13.080,70.523
2025-10-13T22:43:23,N010,15.918,81.598
2025-10-13T22:43:38,N010,17.881,79.706
2025-10-13T22:43:53,N010,17.963,77.125
2025-10-13T22:44:08,N010,19.404,72.849
2025-10-13T22:44:23,N010,23.724,69.085
2025-10-13T22:44:38,N010,23.213,72.493
2025-10-13T22:44:53,N010,21.371,71.464
2025-10-13T22:45:08,N010,19.351,78.815
2025-10-13T22:45:23,N010,12.977,67.851
2025-10-13T22:45:38,N010,9.301,64.373
2025-10-13T22:45:53,N010,10.722,51.811
