task_id,arrival_offset_s,start_timestamp,duration_s,initial_cpu,initial_memory,peer_task_ids,peer_bandwidths
T0001,28.6,2025-10-13T22:34:42,586.1,25.746,48.807,,
T0002,62.9,2025-10-13T22:35:17,498.8,20.723,74.819,,
T0003,87.1,2025-10-13T22:35:41,557.0,14.191,72.325,,
T0004,90.5,2025-10-13T22:35:44,294.6,23.487,85.368,T0032,8.267
T0005,206.9,2025-10-13T22:37:41,685.5,18.632,85.397,T0040,6.802
T0006,273.2,2025-10-13T22:38:47,447.9,20.573,53.271,,
T0007,337.9,2025-10-13T22:39:52,514.8,12.023,50.145,T0005,7.825
T0008,375.7,2025-10-13T22:40:29,670.2,26.101,48.558,T0003;T0042,7.969;7.038
T0009,377.5,2025-10-13T22:40:31,603.7,25.308,83.517,,
T0010,444.1,2025-10-13T22:41:38,623.5,19.403,72.413,T0007;T0008,2.173;6.338
T0011,449.5,2025-10-13T22:41:43,697.5,12.612,95.607,,
T0012,456.1,2025-10-13T22:41:50,468.2,15.376,63.639,T0011,3.659
T0013,469.7,2025-10-13T22:42:04,522.6,22.171,73.020,T0046,9.370
T0014,521.6,2025-10-13T22:42:55,523.9,23.356,26.561,,
T0015,560.7,2025-10-13T22:43:35,861.8,11.475,87.990,,
T0016,615.5,2025-10-13T22:44:29,714.2,15.006,22.515,T0002,6.423
T0017,627.8,2025-10-13T22:44:42,508.9,18.474,50.881,T0009;T0038,3.406;5.554
T0018,637.9,2025-10-13T22:44:52,622.7,9.417,40.200,,
T0019,675.3,2025-10-13T22:45:29,582.8,17.904,87.281,T0009;T0013;T0045,3.275;7.228;6.742
T0020,684.0,2025-10-13T22:45:38,454.1,25.003,41.596,,
T0021,722.9,2025-10-13T22:46:17,736.9,26.723,73.637,T0024;T0031,8.981;3.620
T0022,728.6,2025-10-13T22:46:22,537.7,9.115,26.038,,
T0023,835.3,2025-10-13T22:48:09,561.4,18.083,34.900,T0025;T0033;T0042,2.423;5.528;4.274
T0024,907.5,2025-10-13T22:49:21,566.0,11.301,22.943,,
T0025,912.5,2025-10-13T22:49:26,744.5,27.892,66.521,,
T0026,917.6,2025-10-13T22:49:31,546.5,11.597,71.865,T0004;T0019,7.808;7.727
T0027,923.5,2025-10-13T22:49:37,642.0,20.707,65.992,,
T0028,983.1,2025-10-13T22:50:37,607.7,19.583,67.564,,
T0029,992.4,2025-10-13T22:50:46,524.1,20.686,82.770,,
T0030,1015.4,2025-10-13T22:51:09,779.5,25.334,85.098,T0032;T0036;T0047,6.836;3.215;3.824
T0031,1070.1,2025-10-13T22:52:04,652.4,15.958,76.210,,
T0032,1097.4,2025-10-13T22:52:31,552.2,8.298,42.828,T0010;T0023,1.137;1.479
T0033,1164.1,2025-10-13T22:53:38,601.7,27.527,33.135,,
T0034,1200.5,2025-10-13T22:54:14,474.9,18.944,19.996,,
T0035,1201.0,2025-10-13T22:54:15,427.0,26.763,36.454,T0017;T0042,4.712;4.540
T0036,1212.4,2025-10-13T22:54:26,872.6,27.386,82.121,T0001;T0009;T0024,9.153;5.071;7.751
T0037,1215.6,2025-10-13T22:54:29,655.1,25.226,40.596,T0022,8.687
T0038,1246.3,2025-10-13T22:55:00,550.0,15.258,53.302,T0001;T0021,6.361;7.622
T0039,1376.3,2025-10-13T22:57:10,546.3,23.405,25.540,T0027;T0042;T0047,7.974;8.521;2.822
T0040,1421.9,2025-10-13T22:57:56,553.7,11.613,72.408,T0027;T0032;T0045,5.469;7.545;9.986
T0041,1470.4,2025-10-13T22:58:44,771.5,25.797,37.874,T0046,9.720
T0042,1487.6,2025-10-13T22:59:01,464.2,25.390,26.998,,
T0043,1527.0,2025-10-13T22:59:41,338.8,22.117,37.276,,
T0044,1534.8,2025-10-13T22:59:49,720.1,12.619,16.004,,
T0045,1544.8,2025-10-13T22:59:59,480.3,19.457,29.824,,
T0046,1580.9,2025-10-13T23:00:35,573.0,23.303,87.913,T0002;T0008;T0017,9.345;5.721;3.248
T0047,1621.2,2025-10-13T23:01:15,544.5,15.963,38.533,,
T0048,1654.4,2025-10-13T23:01:48,618.0,12.761,78.366,T0007,4.008
T0049,1666.0,2025-10-13T23:02:00,637.8,13.726,70.032,T0016,9.052
T0050,1694.5,2025-10-13T23:02:28,448.1,18.819,36.177,T0005;T0010,9.688;8.593
